2023-10-26 19:42:34 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [1/200] Loss:[0.8008] Train:[79.35] Val:[49.16] Biased Test:[89.89] Update Biased Test:[89.89] Best Biased Test:[89.89]| Unbiased Test:[9.99]  Update Unbiased Test:[9.99] Best Unbiased Test:[9.99]| Unseen Test:[10.06]  Update Unseen Test:[10.06] Best Unseen Test:[10.06]| epoch:[0] | Time:[0.25 min] | [7.90%] [33.27%] [39.68%] [16.17%] [2.99%]
2023-10-26 19:42:47 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [2/200] Loss:[0.5469] Train:[88.14] Val:[45.50] Biased Test:[81.70] Update Biased Test:[89.89] Best Biased Test:[89.89]| Unbiased Test:[10.00]  Update Unbiased Test:[9.99] Best Unbiased Test:[10.00]| Unseen Test:[10.68]  Update Unseen Test:[10.06] Best Unseen Test:[10.68]| epoch:[0] | Time:[0.46 min] | [11.36%] [34.89%] [30.99%] [14.20%] [8.55%]
2023-10-26 19:43:01 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [3/200] Loss:[0.5306] Train:[87.61] Val:[48.52] Biased Test:[88.16] Update Biased Test:[89.89] Best Biased Test:[89.89]| Unbiased Test:[11.36]  Update Unbiased Test:[9.99] Best Unbiased Test:[11.36]| Unseen Test:[9.69]  Update Unseen Test:[10.06] Best Unseen Test:[10.68]| epoch:[0] | Time:[0.71 min] | [11.95%] [47.30%] [24.06%] [9.71%] [6.97%]
2023-10-26 19:43:15 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [4/200] Loss:[0.5016] Train:[88.82] Val:[44.76] Biased Test:[81.54] Update Biased Test:[89.89] Best Biased Test:[89.89]| Unbiased Test:[10.87]  Update Unbiased Test:[9.99] Best Unbiased Test:[11.36]| Unseen Test:[9.60]  Update Unseen Test:[10.06] Best Unseen Test:[10.68]| epoch:[0] | Time:[0.93 min] | [13.87%] [52.52%] [22.45%] [4.87%] [6.28%]
2023-10-26 19:43:29 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [5/200] Loss:[0.4646] Train:[88.38] Val:[44.68] Biased Test:[81.40] Update Biased Test:[89.89] Best Biased Test:[89.89]| Unbiased Test:[10.07]  Update Unbiased Test:[9.99] Best Unbiased Test:[11.36]| Unseen Test:[9.79]  Update Unseen Test:[10.06] Best Unseen Test:[10.68]| epoch:[0] | Time:[1.16 min] | [14.60%] [54.87%] [22.77%] [5.35%] [2.41%]
2023-10-26 19:43:42 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [6/200] Loss:[0.4870] Train:[88.66] Val:[41.80] Biased Test:[74.35] Update Biased Test:[89.89] Best Biased Test:[89.89]| Unbiased Test:[11.20]  Update Unbiased Test:[9.99] Best Unbiased Test:[11.36]| Unseen Test:[10.08]  Update Unseen Test:[10.06] Best Unseen Test:[10.68]| epoch:[0] | Time:[1.39 min] | [13.23%] [53.23%] [24.19%] [5.54%] [3.80%]
2023-10-26 19:43:56 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [7/200] Loss:[0.5072] Train:[88.40] Val:[49.36] Biased Test:[90.01] Update Biased Test:[90.01] Best Biased Test:[90.01]| Unbiased Test:[11.28]  Update Unbiased Test:[11.28] Best Unbiased Test:[11.36]| Unseen Test:[11.82]  Update Unseen Test:[11.82] Best Unseen Test:[11.82]| epoch:[6] | Time:[1.62 min] | [13.62%] [51.73%] [26.02%] [6.34%] [2.29%]
2023-10-26 19:44:11 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [8/200] Loss:[0.5276] Train:[88.18] Val:[45.46] Biased Test:[80.76] Update Biased Test:[90.01] Best Biased Test:[90.01]| Unbiased Test:[10.78]  Update Unbiased Test:[11.28] Best Unbiased Test:[11.36]| Unseen Test:[12.28]  Update Unseen Test:[11.82] Best Unseen Test:[12.28]| epoch:[6] | Time:[1.87 min] | [14.48%] [46.32%] [28.47%] [5.29%] [5.44%]
2023-10-26 19:44:25 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [9/200] Loss:[0.4967] Train:[88.23] Val:[49.20] Biased Test:[89.99] Update Biased Test:[90.01] Best Biased Test:[90.01]| Unbiased Test:[10.11]  Update Unbiased Test:[11.28] Best Unbiased Test:[11.36]| Unseen Test:[10.52]  Update Unseen Test:[11.82] Best Unseen Test:[12.28]| epoch:[6] | Time:[2.11 min] | [9.37%] [58.76%] [21.10%] [7.28%] [3.49%]
2023-10-26 19:44:41 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [10/200] Loss:[0.4780] Train:[88.84] Val:[48.92] Biased Test:[88.94] Update Biased Test:[90.01] Best Biased Test:[90.01]| Unbiased Test:[11.18]  Update Unbiased Test:[11.28] Best Unbiased Test:[11.36]| Unseen Test:[12.54]  Update Unseen Test:[11.82] Best Unseen Test:[12.54]| epoch:[6] | Time:[2.36 min] | [5.55%] [59.49%] [24.65%] [6.18%] [4.13%]
2023-10-26 19:44:56 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [11/200] Loss:[0.4696] Train:[88.43] Val:[49.82] Biased Test:[89.89] Update Biased Test:[89.89] Best Biased Test:[90.01]| Unbiased Test:[11.65]  Update Unbiased Test:[11.65] Best Unbiased Test:[11.65]| Unseen Test:[10.49]  Update Unseen Test:[10.49] Best Unseen Test:[12.54]| epoch:[10] | Time:[2.62 min] | [5.87%] [59.36%] [25.40%] [4.28%] [5.08%]
