2023-10-05 09:24:16 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [1/200] Loss:[0.8827] Train:[78.52] Val:[47.18] Biased Test:[85.64] Update Biased Test:[85.64] Best Biased Test:[85.64]| Unbiased Test:[9.88]  Update Unbiased Test:[9.88] Best Unbiased Test:[9.88]| epoch:[0] | Time:[0.37 min] | [0.88%] [46.82%] [41.73%] [6.85%] [3.73%]
2023-10-05 09:24:36 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [2/200] Loss:[0.6634] Train:[88.12] Val:[48.82] Biased Test:[88.48] Update Biased Test:[88.48] Best Biased Test:[88.48]| Unbiased Test:[9.98]  Update Unbiased Test:[9.98] Best Unbiased Test:[9.98]| epoch:[1] | Time:[0.70 min] | [0.61%] [76.24%] [16.41%] [3.23%] [3.51%]
2023-10-05 09:24:56 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [3/200] Loss:[0.6264] Train:[88.07] Val:[49.26] Biased Test:[89.94] Update Biased Test:[89.94] Best Biased Test:[89.94]| Unbiased Test:[10.16]  Update Unbiased Test:[10.16] Best Unbiased Test:[10.16]| epoch:[2] | Time:[1.03 min] | [5.02%] [81.53%] [7.52%] [2.70%] [3.23%]
2023-10-05 09:25:16 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [4/200] Loss:[0.5925] Train:[88.78] Val:[46.56] Biased Test:[82.99] Update Biased Test:[89.94] Best Biased Test:[89.94]| Unbiased Test:[11.14]  Update Unbiased Test:[10.16] Best Unbiased Test:[11.14]| epoch:[2] | Time:[1.37 min] | [14.27%] [68.41%] [10.11%] [3.76%] [3.46%]
2023-10-05 09:25:38 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [5/200] Loss:[0.5698] Train:[88.46] Val:[46.96] Biased Test:[81.70] Update Biased Test:[89.94] Best Biased Test:[89.94]| Unbiased Test:[11.98]  Update Unbiased Test:[10.16] Best Unbiased Test:[11.98]| epoch:[2] | Time:[1.72 min] | [13.12%] [69.09%] [11.97%] [4.90%] [0.92%]
2023-10-05 09:25:58 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [6/200] Loss:[0.5421] Train:[88.67] Val:[42.90] Biased Test:[76.32] Update Biased Test:[89.94] Best Biased Test:[89.94]| Unbiased Test:[10.33]  Update Unbiased Test:[10.16] Best Unbiased Test:[11.98]| epoch:[2] | Time:[2.05 min] | [18.01%] [65.15%] [12.31%] [3.87%] [0.65%]
2023-10-05 09:26:18 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [7/200] Loss:[0.5463] Train:[88.65] Val:[45.68] Biased Test:[80.67] Update Biased Test:[89.94] Best Biased Test:[89.94]| Unbiased Test:[11.52]  Update Unbiased Test:[10.16] Best Unbiased Test:[11.98]| epoch:[2] | Time:[2.39 min] | [31.25%] [54.54%] [9.38%] [3.20%] [1.63%]
2023-10-05 09:26:38 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [8/200] Loss:[0.5723] Train:[88.23] Val:[49.22] Biased Test:[89.10] Update Biased Test:[89.94] Best Biased Test:[89.94]| Unbiased Test:[11.60]  Update Unbiased Test:[10.16] Best Unbiased Test:[11.98]| epoch:[2] | Time:[2.72 min] | [16.59%] [67.00%] [13.11%] [2.82%] [0.48%]
2023-10-05 09:26:58 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [9/200] Loss:[0.5337] Train:[88.67] Val:[49.64] Biased Test:[89.33] Update Biased Test:[89.33] Best Biased Test:[89.94]| Unbiased Test:[11.70]  Update Unbiased Test:[11.70] Best Unbiased Test:[11.98]| epoch:[8] | Time:[3.05 min] | [12.74%] [72.80%] [10.33%] [3.77%] [0.36%]
2023-10-05 09:27:18 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [10/200] Loss:[0.5732] Train:[88.51] Val:[49.56] Biased Test:[89.97] Update Biased Test:[89.33] Best Biased Test:[89.97]| Unbiased Test:[10.89]  Update Unbiased Test:[11.70] Best Unbiased Test:[11.98]| epoch:[8] | Time:[3.39 min] | [24.60%] [57.36%] [8.89%] [5.18%] [3.98%]
2023-10-05 09:27:38 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [11/200] Loss:[0.5160] Train:[88.77] Val:[49.84] Biased Test:[88.89] Update Biased Test:[88.89] Best Biased Test:[89.97]| Unbiased Test:[11.62]  Update Unbiased Test:[11.62] Best Unbiased Test:[11.98]| epoch:[10] | Time:[3.72 min] | [54.58%] [29.22%] [6.21%] [5.22%] [4.76%]
2023-10-05 09:27:58 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [12/200] Loss:[0.4972] Train:[88.83] Val:[46.08] Biased Test:[80.84] Update Biased Test:[88.89] Best Biased Test:[89.97]| Unbiased Test:[11.22]  Update Unbiased Test:[11.62] Best Unbiased Test:[11.98]| epoch:[10] | Time:[4.06 min] | [50.07%] [33.23%] [7.12%] [5.75%] [3.83%]
2023-10-05 09:28:18 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [13/200] Loss:[0.5319] Train:[88.18] Val:[49.42] Biased Test:[89.26] Update Biased Test:[88.89] Best Biased Test:[89.97]| Unbiased Test:[11.38]  Update Unbiased Test:[11.62] Best Unbiased Test:[11.98]| epoch:[10] | Time:[4.39 min] | [45.48%] [41.64%] [6.12%] [4.45%] [2.30%]
2023-10-05 09:28:38 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [14/200] Loss:[0.5098] Train:[88.78] Val:[46.90] Biased Test:[81.68] Update Biased Test:[88.89] Best Biased Test:[89.97]| Unbiased Test:[12.24]  Update Unbiased Test:[11.62] Best Unbiased Test:[12.24]| epoch:[10] | Time:[4.73 min] | [46.10%] [40.01%] [6.70%] [5.09%] [2.10%]
2023-10-05 09:28:58 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [15/200] Loss:[0.5039] Train:[88.71] Val:[35.90] Biased Test:[62.70] Update Biased Test:[88.89] Best Biased Test:[89.97]| Unbiased Test:[14.13]  Update Unbiased Test:[11.62] Best Unbiased Test:[14.13]| epoch:[10] | Time:[5.06 min] | [51.93%] [34.72%] [6.51%] [4.75%] [2.10%]
2023-10-05 09:29:19 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [16/200] Loss:[0.5257] Train:[88.20] Val:[49.84] Biased Test:[88.96] Update Biased Test:[88.89] Best Biased Test:[89.97]| Unbiased Test:[12.31]  Update Unbiased Test:[11.62] Best Unbiased Test:[14.13]| epoch:[10] | Time:[5.40 min] | [53.87%] [33.83%] [4.75%] [4.06%] [3.49%]
2023-10-05 09:29:39 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [17/200] Loss:[0.5089] Train:[88.69] Val:[44.36] Biased Test:[72.42] Update Biased Test:[88.89] Best Biased Test:[89.97]| Unbiased Test:[14.88]  Update Unbiased Test:[11.62] Best Unbiased Test:[14.88]| epoch:[10] | Time:[5.73 min] | [57.82%] [29.21%] [5.18%] [4.55%] [3.24%]
2023-10-05 09:29:59 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [18/200] Loss:[0.5308] Train:[88.32] Val:[46.42] Biased Test:[80.44] Update Biased Test:[88.89] Best Biased Test:[89.97]| Unbiased Test:[13.72]  Update Unbiased Test:[11.62] Best Unbiased Test:[14.88]| epoch:[10] | Time:[6.07 min] | [55.71%] [29.79%] [5.13%] [4.94%] [4.42%]
2023-10-05 09:30:19 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [19/200] Loss:[0.6256] Train:[87.40] Val:[41.46] Biased Test:[71.77] Update Biased Test:[88.89] Best Biased Test:[89.97]| Unbiased Test:[15.27]  Update Unbiased Test:[11.62] Best Unbiased Test:[15.27]| epoch:[10] | Time:[6.40 min] | [63.10%] [24.26%] [5.37%] [4.44%] [2.83%]
2023-10-05 09:30:38 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [20/200] Loss:[0.6079] Train:[88.35] Val:[50.16] Biased Test:[89.59] Update Biased Test:[89.59] Best Biased Test:[89.97]| Unbiased Test:[12.04]  Update Unbiased Test:[12.04] Best Unbiased Test:[15.27]| epoch:[19] | Time:[6.73 min] | [62.50%] [23.70%] [5.34%] [4.98%] [3.48%]
2023-10-05 09:30:58 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [21/200] Loss:[0.5823] Train:[88.74] Val:[49.34] Biased Test:[86.92] Update Biased Test:[89.59] Best Biased Test:[89.97]| Unbiased Test:[14.13]  Update Unbiased Test:[12.04] Best Unbiased Test:[15.27]| epoch:[19] | Time:[7.06 min] | [62.53%] [24.22%] [5.59%] [4.26%] [3.41%]
2023-10-05 09:31:18 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [22/200] Loss:[0.5821] Train:[88.17] Val:[50.92] Biased Test:[89.98] Update Biased Test:[89.98] Best Biased Test:[89.98]| Unbiased Test:[13.88]  Update Unbiased Test:[13.88] Best Unbiased Test:[15.27]| epoch:[21] | Time:[7.39 min] | [64.99%] [20.93%] [5.97%] [4.86%] [3.25%]
2023-10-05 09:31:39 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [23/200] Loss:[0.5237] Train:[88.64] Val:[50.76] Biased Test:[89.65] Update Biased Test:[89.98] Best Biased Test:[89.98]| Unbiased Test:[13.68]  Update Unbiased Test:[13.88] Best Unbiased Test:[15.27]| epoch:[21] | Time:[7.73 min] | [67.03%] [19.34%] [5.09%] [4.85%] [3.68%]
2023-10-05 09:31:59 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [24/200] Loss:[0.5049] Train:[88.94] Val:[50.54] Biased Test:[85.20] Update Biased Test:[89.98] Best Biased Test:[89.98]| Unbiased Test:[16.86]  Update Unbiased Test:[13.88] Best Unbiased Test:[16.86]| epoch:[21] | Time:[8.07 min] | [68.40%] [18.26%] [5.10%] [4.43%] [3.81%]
2023-10-05 09:32:19 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [25/200] Loss:[0.5133] Train:[88.76] Val:[52.20] Biased Test:[88.17] Update Biased Test:[88.17] Best Biased Test:[89.98]| Unbiased Test:[16.74]  Update Unbiased Test:[16.74] Best Unbiased Test:[16.86]| epoch:[24] | Time:[8.41 min] | [67.04%] [21.22%] [5.16%] [3.73%] [2.85%]
2023-10-05 09:32:40 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [26/200] Loss:[0.4928] Train:[89.15] Val:[46.14] Biased Test:[77.39] Update Biased Test:[88.17] Best Biased Test:[89.98]| Unbiased Test:[17.62]  Update Unbiased Test:[16.74] Best Unbiased Test:[17.62]| epoch:[24] | Time:[8.75 min] | [70.89%] [17.44%] [4.71%] [3.51%] [3.45%]
2023-10-05 09:33:00 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [27/200] Loss:[0.6020] Train:[87.27] Val:[52.52] Biased Test:[84.46] Update Biased Test:[84.46] Best Biased Test:[89.98]| Unbiased Test:[21.10]  Update Unbiased Test:[21.10] Best Unbiased Test:[21.10]| epoch:[26] | Time:[9.09 min] | [67.89%] [21.21%] [4.58%] [3.35%] [2.96%]
2023-10-05 09:33:20 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [28/200] Loss:[0.4833] Train:[89.13] Val:[51.84] Biased Test:[86.38] Update Biased Test:[84.46] Best Biased Test:[89.98]| Unbiased Test:[18.50]  Update Unbiased Test:[21.10] Best Unbiased Test:[21.10]| epoch:[26] | Time:[9.42 min] | [63.22%] [23.34%] [5.01%] [4.07%] [4.36%]
2023-10-05 09:33:40 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [29/200] Loss:[0.4281] Train:[89.56] Val:[52.14] Biased Test:[85.57] Update Biased Test:[84.46] Best Biased Test:[89.98]| Unbiased Test:[21.19]  Update Unbiased Test:[21.10] Best Unbiased Test:[21.19]| epoch:[26] | Time:[9.76 min] | [65.34%] [22.65%] [4.86%] [3.43%] [3.72%]
