2023-10-26 19:10:18 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [1/200] Loss:[0.9987] Train:[70.89] Val:[36.10] Biased Test:[56.63] Update Biased Test:[56.63] Best Biased Test:[56.63]| Unbiased Test:[10.29]  Update Unbiased Test:[10.29] Best Unbiased Test:[10.29]| Unseen Test:[10.42]  Update Unseen Test:[10.42] Best Unseen Test:[10.42]| epoch:[0] | Time:[0.25 min] | [0.01%] [5.01%] [55.49%] [33.68%] [5.81%]
2023-10-26 19:10:31 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [2/200] Loss:[0.8893] Train:[78.61] Val:[43.02] Biased Test:[68.25] Update Biased Test:[68.25] Best Biased Test:[68.25]| Unbiased Test:[11.22]  Update Unbiased Test:[11.22] Best Unbiased Test:[11.22]| Unseen Test:[9.55]  Update Unseen Test:[9.55] Best Unseen Test:[10.42]| epoch:[1] | Time:[0.46 min] | [0.00%] [3.29%] [55.38%] [31.25%] [10.08%]
2023-10-26 19:10:46 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [3/200] Loss:[0.9495] Train:[76.48] Val:[43.00] Biased Test:[67.95] Update Biased Test:[68.25] Best Biased Test:[68.25]| Unbiased Test:[11.48]  Update Unbiased Test:[11.22] Best Unbiased Test:[11.48]| Unseen Test:[10.10]  Update Unseen Test:[9.55] Best Unseen Test:[10.42]| epoch:[1] | Time:[0.71 min] | [0.00%] [0.31%] [48.46%] [33.55%] [17.68%]
2023-10-26 19:10:59 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [4/200] Loss:[0.8583] Train:[78.84] Val:[40.74] Biased Test:[64.08] Update Biased Test:[68.25] Best Biased Test:[68.25]| Unbiased Test:[10.41]  Update Unbiased Test:[11.22] Best Unbiased Test:[11.48]| Unseen Test:[9.76]  Update Unseen Test:[9.55] Best Unseen Test:[10.42]| epoch:[1] | Time:[0.93 min] | [0.00%] [0.00%] [43.20%] [41.28%] [15.51%]
2023-10-26 19:11:12 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [5/200] Loss:[0.8949] Train:[76.73] Val:[43.74] Biased Test:[67.61] Update Biased Test:[67.61] Best Biased Test:[68.25]| Unbiased Test:[14.25]  Update Unbiased Test:[14.25] Best Unbiased Test:[14.25]| Unseen Test:[10.39]  Update Unseen Test:[10.39] Best Unseen Test:[10.42]| epoch:[4] | Time:[1.14 min] | [0.00%] [1.29%] [54.46%] [21.58%] [22.67%]
2023-10-26 19:11:25 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [6/200] Loss:[0.8241] Train:[78.60] Val:[33.92] Biased Test:[51.43] Update Biased Test:[67.61] Best Biased Test:[68.25]| Unbiased Test:[13.60]  Update Unbiased Test:[14.25] Best Unbiased Test:[14.25]| Unseen Test:[11.05]  Update Unseen Test:[10.39] Best Unseen Test:[11.05]| epoch:[4] | Time:[1.36 min] | [0.00%] [3.32%] [43.34%] [28.07%] [25.28%]
2023-10-26 19:11:37 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [7/200] Loss:[0.7642] Train:[78.62] Val:[45.48] Biased Test:[71.30] Update Biased Test:[71.30] Best Biased Test:[71.30]| Unbiased Test:[12.14]  Update Unbiased Test:[12.14] Best Unbiased Test:[14.25]| Unseen Test:[10.09]  Update Unseen Test:[10.09] Best Unseen Test:[11.05]| epoch:[6] | Time:[1.57 min] | [0.34%] [9.64%] [33.34%] [28.07%] [28.61%]
2023-10-26 19:11:51 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [8/200] Loss:[0.7019] Train:[79.44] Val:[46.90] Biased Test:[71.58] Update Biased Test:[71.58] Best Biased Test:[71.58]| Unbiased Test:[15.87]  Update Unbiased Test:[15.87] Best Unbiased Test:[15.87]| Unseen Test:[11.13]  Update Unseen Test:[11.13] Best Unseen Test:[11.13]| epoch:[7] | Time:[1.79 min] | [1.58%] [6.58%] [32.40%] [33.70%] [25.74%]
2023-10-26 19:12:04 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [9/200] Loss:[0.6921] Train:[79.07] Val:[47.56] Biased Test:[72.72] Update Biased Test:[72.72] Best Biased Test:[72.72]| Unbiased Test:[15.18]  Update Unbiased Test:[15.18] Best Unbiased Test:[15.87]| Unseen Test:[12.81]  Update Unseen Test:[12.81] Best Unseen Test:[12.81]| epoch:[8] | Time:[2.00 min] | [2.99%] [9.10%] [22.32%] [38.96%] [26.63%]
2023-10-26 19:12:17 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [10/200] Loss:[0.6727] Train:[79.36] Val:[38.06] Biased Test:[56.99] Update Biased Test:[72.72] Best Biased Test:[72.72]| Unbiased Test:[13.01]  Update Unbiased Test:[15.18] Best Unbiased Test:[15.87]| Unseen Test:[11.80]  Update Unseen Test:[12.81] Best Unseen Test:[12.81]| epoch:[8] | Time:[2.23 min] | [6.06%] [5.34%] [22.25%] [37.70%] [28.65%]
2023-10-26 19:12:31 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [11/200] Loss:[0.6831] Train:[79.14] Val:[42.24] Biased Test:[65.29] Update Biased Test:[72.72] Best Biased Test:[72.72]| Unbiased Test:[11.78]  Update Unbiased Test:[15.18] Best Unbiased Test:[15.87]| Unseen Test:[11.27]  Update Unseen Test:[12.81] Best Unseen Test:[12.81]| epoch:[8] | Time:[2.45 min] | [5.13%] [6.83%] [23.35%] [36.48%] [28.21%]
