2023-10-07 03:15:15 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [1/200] Loss:[0.4513] Train:[44.51] Val:[17.06] Biased Test:[9.80] Update Biased Test:[9.80] Best Biased Test:[9.80]| Unbiased Test:[25.86]  Update Unbiased Test:[25.86] Best Unbiased Test:[25.86]| epoch:[0] | Time:[0.35 min] | [5.03%] [42.52%] [33.59%] [18.84%] [0.02%]
2023-10-07 03:15:34 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [2/200] Loss:[0.2034] Train:[22.45] Val:[36.95] Biased Test:[27.35] Update Biased Test:[27.35] Best Biased Test:[27.35]| Unbiased Test:[48.59]  Update Unbiased Test:[48.59] Best Unbiased Test:[48.59]| epoch:[1] | Time:[0.67 min] | [8.24%] [49.95%] [25.47%] [16.34%] [0.00%]
2023-10-07 03:15:54 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [3/200] Loss:[0.1886] Train:[26.60] Val:[35.72] Biased Test:[26.59] Update Biased Test:[27.35] Best Biased Test:[27.35]| Unbiased Test:[47.20]  Update Unbiased Test:[48.59] Best Unbiased Test:[48.59]| epoch:[1] | Time:[1.00 min] | [11.54%] [45.60%] [15.32%] [18.07%] [9.47%]
2023-10-07 03:16:13 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [4/200] Loss:[0.1741] Train:[33.55] Val:[41.80] Biased Test:[35.53] Update Biased Test:[35.53] Best Biased Test:[35.53]| Unbiased Test:[48.30]  Update Unbiased Test:[48.30] Best Unbiased Test:[48.59]| epoch:[3] | Time:[1.32 min] | [8.48%] [46.15%] [11.40%] [27.58%] [6.39%]
2023-10-07 03:16:34 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [5/200] Loss:[0.1664] Train:[34.64] Val:[37.77] Biased Test:[28.33] Update Biased Test:[35.53] Best Biased Test:[35.53]| Unbiased Test:[49.55]  Update Unbiased Test:[48.30] Best Unbiased Test:[49.55]| epoch:[3] | Time:[1.66 min] | [3.43%] [51.90%] [10.63%] [23.61%] [10.43%]
2023-10-07 03:16:53 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [6/200] Loss:[0.1551] Train:[32.85] Val:[39.03] Biased Test:[31.56] Update Biased Test:[35.53] Best Biased Test:[35.53]| Unbiased Test:[47.79]  Update Unbiased Test:[48.30] Best Unbiased Test:[49.55]| epoch:[3] | Time:[1.99 min] | [3.46%] [49.90%] [9.34%] [26.67%] [10.62%]
2023-10-07 03:17:13 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [7/200] Loss:[0.1592] Train:[29.02] Val:[29.56] Biased Test:[20.33] Update Biased Test:[35.53] Best Biased Test:[35.53]| Unbiased Test:[40.15]  Update Unbiased Test:[48.30] Best Unbiased Test:[49.55]| epoch:[3] | Time:[2.31 min] | [5.98%] [48.79%] [8.26%] [18.86%] [18.11%]
2023-10-07 03:17:32 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [8/200] Loss:[0.1598] Train:[35.32] Val:[46.06] Biased Test:[40.52] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[50.85]  Update Unbiased Test:[50.85] Best Unbiased Test:[50.85]| epoch:[7] | Time:[2.63 min] | [4.66%] [45.58%] [10.78%] [12.76%] [26.21%]
2023-10-07 03:17:51 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [9/200] Loss:[0.1416] Train:[36.43] Val:[37.14] Biased Test:[30.55] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[44.75]  Update Unbiased Test:[50.85] Best Unbiased Test:[50.85]| epoch:[7] | Time:[2.96 min] | [3.81%] [49.46%] [10.55%] [19.05%] [17.13%]
2023-10-07 03:18:11 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [10/200] Loss:[0.1323] Train:[33.08] Val:[32.07] Biased Test:[24.61] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[39.95]  Update Unbiased Test:[50.85] Best Unbiased Test:[50.85]| epoch:[7] | Time:[3.28 min] | [9.15%] [44.44%] [9.19%] [19.52%] [17.70%]
2023-10-07 03:18:30 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [11/200] Loss:[0.1375] Train:[36.04] Val:[36.62] Biased Test:[27.85] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[47.21]  Update Unbiased Test:[50.85] Best Unbiased Test:[50.85]| epoch:[7] | Time:[3.60 min] | [6.72%] [45.85%] [10.59%] [23.36%] [13.48%]
