2023-10-06 22:43:57 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [1/200] Loss:[0.4564] Train:[87.17] Val:[52.84] Biased Test:[92.88] Update Biased Test:[92.88] Best Biased Test:[92.88]| Unbiased Test:[17.61]  Update Unbiased Test:[17.61] Best Unbiased Test:[17.61]| epoch:[0] | Time:[0.35 min] | [0.90%] [9.49%] [57.58%] [31.92%] [0.11%]
2023-10-06 22:44:16 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [2/200] Loss:[0.2813] Train:[94.33] Val:[54.11] Biased Test:[92.01] Update Biased Test:[92.01] Best Biased Test:[92.88]| Unbiased Test:[20.84]  Update Unbiased Test:[20.84] Best Unbiased Test:[20.84]| epoch:[1] | Time:[0.66 min] | [7.35%] [11.10%] [57.15%] [24.40%] [0.00%]
2023-10-06 22:44:35 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [3/200] Loss:[0.2429] Train:[94.70] Val:[56.76] Biased Test:[93.51] Update Biased Test:[93.51] Best Biased Test:[93.51]| Unbiased Test:[24.28]  Update Unbiased Test:[24.28] Best Unbiased Test:[24.28]| epoch:[2] | Time:[0.98 min] | [9.34%] [9.57%] [67.11%] [13.95%] [0.03%]
2023-10-06 22:44:56 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [4/200] Loss:[0.2510] Train:[94.90] Val:[54.78] Biased Test:[84.21] Update Biased Test:[93.51] Best Biased Test:[93.51]| Unbiased Test:[28.20]  Update Unbiased Test:[24.28] Best Unbiased Test:[28.20]| epoch:[2] | Time:[1.32 min] | [10.57%] [10.60%] [69.63%] [9.14%] [0.06%]
2023-10-06 22:45:15 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [5/200] Loss:[0.3012] Train:[94.03] Val:[48.98] Biased Test:[79.86] Update Biased Test:[93.51] Best Biased Test:[93.51]| Unbiased Test:[22.82]  Update Unbiased Test:[24.28] Best Unbiased Test:[28.20]| epoch:[2] | Time:[1.64 min] | [11.73%] [42.12%] [34.46%] [11.68%] [0.01%]
2023-10-06 22:45:34 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [6/200] Loss:[0.1831] Train:[95.53] Val:[55.19] Biased Test:[84.19] Update Biased Test:[93.51] Best Biased Test:[93.51]| Unbiased Test:[29.50]  Update Unbiased Test:[24.28] Best Unbiased Test:[29.50]| epoch:[2] | Time:[1.96 min] | [14.12%] [49.40%] [27.58%] [8.90%] [0.00%]
2023-10-06 22:45:53 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [7/200] Loss:[0.1693] Train:[95.86] Val:[62.18] Biased Test:[93.79] Update Biased Test:[93.79] Best Biased Test:[93.79]| Unbiased Test:[33.62]  Update Unbiased Test:[33.62] Best Unbiased Test:[33.62]| epoch:[6] | Time:[2.27 min] | [16.28%] [45.56%] [34.84%] [3.31%] [0.00%]
2023-10-06 22:46:12 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [8/200] Loss:[0.1883] Train:[95.78] Val:[42.76] Biased Test:[54.21] Update Biased Test:[93.79] Best Biased Test:[93.79]| Unbiased Test:[31.38]  Update Unbiased Test:[33.62] Best Unbiased Test:[33.62]| epoch:[6] | Time:[2.59 min] | [17.44%] [38.56%] [40.01%] [3.98%] [0.00%]
2023-10-06 22:46:31 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [9/200] Loss:[0.2623] Train:[93.77] Val:[60.94] Biased Test:[94.38] Update Biased Test:[93.79] Best Biased Test:[94.38]| Unbiased Test:[31.61]  Update Unbiased Test:[33.62] Best Unbiased Test:[33.62]| epoch:[6] | Time:[2.90 min] | [16.61%] [36.59%] [45.75%] [1.05%] [0.00%]
2023-10-06 22:46:50 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [10/200] Loss:[0.1671] Train:[95.74] Val:[61.76] Biased Test:[94.33] Update Biased Test:[93.79] Best Biased Test:[94.38]| Unbiased Test:[34.43]  Update Unbiased Test:[33.62] Best Unbiased Test:[34.43]| epoch:[6] | Time:[3.22 min] | [17.71%] [45.37%] [36.23%] [0.68%] [0.00%]
2023-10-06 22:47:09 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [11/200] Loss:[0.1581] Train:[95.96] Val:[63.02] Biased Test:[95.54] Update Biased Test:[95.54] Best Biased Test:[95.54]| Unbiased Test:[34.47]  Update Unbiased Test:[34.47] Best Unbiased Test:[34.47]| epoch:[10] | Time:[3.54 min] | [22.37%] [42.02%] [33.35%] [2.25%] [0.00%]
2023-10-06 22:47:28 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [12/200] Loss:[0.1540] Train:[96.12] Val:[64.07] Biased Test:[93.50] Update Biased Test:[93.50] Best Biased Test:[95.54]| Unbiased Test:[37.59]  Update Unbiased Test:[37.59] Best Unbiased Test:[37.59]| epoch:[11] | Time:[3.86 min] | [21.63%] [45.89%] [29.47%] [3.01%] [0.00%]
2023-10-06 22:47:48 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [13/200] Loss:[0.2011] Train:[95.82] Val:[62.84] Biased Test:[91.93] Update Biased Test:[93.50] Best Biased Test:[95.54]| Unbiased Test:[37.07]  Update Unbiased Test:[37.59] Best Unbiased Test:[37.59]| epoch:[11] | Time:[4.18 min] | [28.91%] [38.90%] [30.97%] [1.22%] [0.00%]
2023-10-06 22:48:06 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [14/200] Loss:[0.1731] Train:[95.11] Val:[66.30] Biased Test:[95.15] Update Biased Test:[95.15] Best Biased Test:[95.54]| Unbiased Test:[40.88]  Update Unbiased Test:[40.88] Best Unbiased Test:[40.88]| epoch:[13] | Time:[4.50 min] | [38.24%] [24.23%] [29.79%] [7.74%] [0.00%]
2023-10-06 22:48:26 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [15/200] Loss:[0.1103] Train:[96.41] Val:[65.19] Biased Test:[96.14] Update Biased Test:[95.15] Best Biased Test:[96.14]| Unbiased Test:[37.22]  Update Unbiased Test:[40.88] Best Unbiased Test:[40.88]| epoch:[13] | Time:[4.82 min] | [39.52%] [24.17%] [32.44%] [3.87%] [0.00%]
2023-10-06 22:48:45 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [16/200] Loss:[0.1256] Train:[96.10] Val:[66.42] Biased Test:[94.74] Update Biased Test:[94.74] Best Biased Test:[96.14]| Unbiased Test:[42.30]  Update Unbiased Test:[42.30] Best Unbiased Test:[42.30]| epoch:[15] | Time:[5.14 min] | [38.03%] [21.86%] [12.46%] [21.41%] [6.24%]
