2023-10-06 09:33:21 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [1/200] Loss:[1.1673] Train:[68.41] Val:[36.22] Biased Test:[56.51] Update Biased Test:[56.51] Best Biased Test:[56.51]| Unbiased Test:[9.91]  Update Unbiased Test:[9.91] Best Unbiased Test:[9.91]| epoch:[0] | Time:[0.37 min] | [6.58%] [59.74%] [22.89%] [4.89%] [5.90%]
2023-10-06 09:33:41 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [2/200] Loss:[0.9734] Train:[77.94] Val:[41.00] Biased Test:[63.43] Update Biased Test:[63.43] Best Biased Test:[63.43]| Unbiased Test:[10.50]  Update Unbiased Test:[10.50] Best Unbiased Test:[10.50]| epoch:[1] | Time:[0.71 min] | [11.47%] [62.04%] [17.51%] [6.27%] [2.72%]
2023-10-06 09:34:01 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [3/200] Loss:[0.9966] Train:[77.01] Val:[41.16] Biased Test:[64.11] Update Biased Test:[64.11] Best Biased Test:[64.11]| Unbiased Test:[10.81]  Update Unbiased Test:[10.81] Best Unbiased Test:[10.81]| epoch:[2] | Time:[1.05 min] | [21.53%] [63.52%] [10.76%] [3.31%] [0.88%]
2023-10-06 09:34:22 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [4/200] Loss:[0.9475] Train:[78.44] Val:[44.70] Biased Test:[71.05] Update Biased Test:[71.05] Best Biased Test:[71.05]| Unbiased Test:[10.61]  Update Unbiased Test:[10.61] Best Unbiased Test:[10.81]| epoch:[3] | Time:[1.39 min] | [22.70%] [60.51%] [10.46%] [3.98%] [2.34%]
2023-10-06 09:34:44 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [5/200] Loss:[0.9406] Train:[77.34] Val:[34.70] Biased Test:[52.95] Update Biased Test:[71.05] Best Biased Test:[71.05]| Unbiased Test:[11.19]  Update Unbiased Test:[10.61] Best Unbiased Test:[11.19]| epoch:[3] | Time:[1.75 min] | [16.81%] [70.92%] [9.37%] [2.64%] [0.26%]
2023-10-06 09:35:04 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [6/200] Loss:[0.8794] Train:[78.35] Val:[44.82] Biased Test:[71.19] Update Biased Test:[71.19] Best Biased Test:[71.19]| Unbiased Test:[11.34]  Update Unbiased Test:[11.34] Best Unbiased Test:[11.34]| epoch:[5] | Time:[2.10 min] | [23.30%] [57.75%] [11.67%] [5.70%] [1.59%]
2023-10-06 09:35:25 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [7/200] Loss:[0.8787] Train:[78.61] Val:[44.54] Biased Test:[69.70] Update Biased Test:[71.19] Best Biased Test:[71.19]| Unbiased Test:[14.19]  Update Unbiased Test:[11.34] Best Unbiased Test:[14.19]| epoch:[5] | Time:[2.44 min] | [29.54%] [53.64%] [8.34%] [6.35%] [2.13%]
2023-10-06 09:35:45 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [8/200] Loss:[0.8915] Train:[77.95] Val:[37.04] Biased Test:[55.22] Update Biased Test:[71.19] Best Biased Test:[71.19]| Unbiased Test:[13.15]  Update Unbiased Test:[11.34] Best Unbiased Test:[14.19]| epoch:[5] | Time:[2.78 min] | [41.51%] [44.25%] [6.16%] [5.40%] [2.68%]
2023-10-06 09:36:06 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [9/200] Loss:[0.8374] Train:[78.59] Val:[39.08] Biased Test:[56.82] Update Biased Test:[71.19] Best Biased Test:[71.19]| Unbiased Test:[13.61]  Update Unbiased Test:[11.34] Best Unbiased Test:[14.19]| epoch:[5] | Time:[3.12 min] | [34.28%] [35.08%] [18.02%] [6.61%] [6.01%]
2023-10-06 09:36:26 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [10/200] Loss:[0.8969] Train:[78.07] Val:[44.30] Biased Test:[69.41] Update Biased Test:[71.19] Best Biased Test:[71.19]| Unbiased Test:[14.75]  Update Unbiased Test:[11.34] Best Unbiased Test:[14.75]| epoch:[5] | Time:[3.46 min] | [32.62%] [26.85%] [29.80%] [6.61%] [4.13%]
2023-10-06 09:36:47 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [11/200] Loss:[0.8660] Train:[78.52] Val:[41.16] Biased Test:[63.47] Update Biased Test:[71.19] Best Biased Test:[71.19]| Unbiased Test:[13.15]  Update Unbiased Test:[11.34] Best Unbiased Test:[14.75]| epoch:[5] | Time:[3.80 min] | [38.27%] [24.29%] [27.08%] [6.70%] [3.66%]
