2023-10-05 16:03:50 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [1/200] Loss:[0.3829] Train:[36.43] Val:[14.60] Biased Test:[19.35] Update Biased Test:[19.35] Best Biased Test:[19.35]| Unbiased Test:[11.60]  Update Unbiased Test:[11.60] Best Unbiased Test:[11.60]| epoch:[0] | Time:[0.32 min] | [6.03%] [45.58%] [39.62%] [8.68%] [0.09%]
2023-10-05 16:04:07 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [2/200] Loss:[0.2414] Train:[2.00] Val:[6.78] Biased Test:[1.48] Update Biased Test:[19.35] Best Biased Test:[19.35]| Unbiased Test:[12.19]  Update Unbiased Test:[11.60] Best Unbiased Test:[12.19]| epoch:[0] | Time:[0.60 min] | [14.76%] [58.70%] [22.08%] [4.47%] [0.00%]
2023-10-05 16:04:25 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [3/200] Loss:[0.2430] Train:[2.38] Val:[7.48] Biased Test:[1.67] Update Biased Test:[19.35] Best Biased Test:[19.35]| Unbiased Test:[14.06]  Update Unbiased Test:[11.60] Best Unbiased Test:[14.06]| epoch:[0] | Time:[0.90 min] | [20.22%] [49.28%] [21.15%] [9.35%] [0.00%]
2023-10-05 16:04:42 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [4/200] Loss:[0.2426] Train:[3.09] Val:[8.94] Biased Test:[1.67] Update Biased Test:[19.35] Best Biased Test:[19.35]| Unbiased Test:[14.31]  Update Unbiased Test:[11.60] Best Unbiased Test:[14.31]| epoch:[0] | Time:[1.19 min] | [33.23%] [30.30%] [29.28%] [7.19%] [0.00%]
2023-10-05 16:05:00 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [5/200] Loss:[0.2318] Train:[2.37] Val:[6.60] Biased Test:[1.45] Update Biased Test:[19.35] Best Biased Test:[19.35]| Unbiased Test:[13.06]  Update Unbiased Test:[11.60] Best Unbiased Test:[14.31]| epoch:[0] | Time:[1.48 min] | [33.75%] [53.85%] [11.45%] [0.96%] [0.00%]
2023-10-05 16:05:17 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [6/200] Loss:[0.2233] Train:[2.60] Val:[8.90] Biased Test:[2.17] Update Biased Test:[19.35] Best Biased Test:[19.35]| Unbiased Test:[16.10]  Update Unbiased Test:[11.60] Best Unbiased Test:[16.10]| epoch:[0] | Time:[1.77 min] | [40.62%] [33.16%] [26.22%] [0.00%] [0.00%]
2023-10-05 16:05:36 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [7/200] Loss:[0.2222] Train:[3.35] Val:[10.16] Biased Test:[2.12] Update Biased Test:[19.35] Best Biased Test:[19.35]| Unbiased Test:[18.61]  Update Unbiased Test:[11.60] Best Unbiased Test:[18.61]| epoch:[0] | Time:[2.09 min] | [32.43%] [54.43%] [13.14%] [0.00%] [0.00%]
2023-10-05 16:05:54 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [8/200] Loss:[0.1983] Train:[2.89] Val:[11.48] Biased Test:[2.18] Update Biased Test:[19.35] Best Biased Test:[19.35]| Unbiased Test:[20.73]  Update Unbiased Test:[11.60] Best Unbiased Test:[20.73]| epoch:[0] | Time:[2.38 min] | [28.81%] [71.19%] [0.00%] [0.00%] [0.00%]
2023-10-05 16:06:11 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [9/200] Loss:[0.1863] Train:[3.38] Val:[10.92] Biased Test:[2.29] Update Biased Test:[19.35] Best Biased Test:[19.35]| Unbiased Test:[20.45]  Update Unbiased Test:[11.60] Best Unbiased Test:[20.73]| epoch:[0] | Time:[2.67 min] | [26.32%] [73.68%] [0.00%] [0.00%] [0.00%]
2023-10-05 16:06:29 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [10/200] Loss:[0.1767] Train:[3.81] Val:[11.94] Biased Test:[2.10] Update Biased Test:[19.35] Best Biased Test:[19.35]| Unbiased Test:[19.48]  Update Unbiased Test:[11.60] Best Unbiased Test:[20.73]| epoch:[0] | Time:[2.96 min] | [22.57%] [77.43%] [0.00%] [0.00%] [0.00%]
2023-10-05 16:06:46 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [11/200] Loss:[0.1786] Train:[4.06] Val:[16.36] Biased Test:[3.21] Update Biased Test:[3.21] Best Biased Test:[19.35]| Unbiased Test:[30.21]  Update Unbiased Test:[30.21] Best Unbiased Test:[30.21]| epoch:[10] | Time:[3.25 min] | [21.30%] [78.70%] [0.00%] [0.00%] [0.00%]
