2023-10-05 14:54:43 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [1/200] Loss:[0.7402] Train:[80.43] Val:[44.86] Biased Test:[80.83] Update Biased Test:[80.83] Best Biased Test:[80.83]| Unbiased Test:[9.93]  Update Unbiased Test:[9.93] Best Unbiased Test:[9.93]| epoch:[0] | Time:[0.32 min] | [0.41%] [14.23%] [55.29%] [28.38%] [1.69%]
2023-10-05 14:55:00 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [2/200] Loss:[0.5874] Train:[88.49] Val:[48.94] Biased Test:[89.32] Update Biased Test:[89.32] Best Biased Test:[89.32]| Unbiased Test:[10.99]  Update Unbiased Test:[10.99] Best Unbiased Test:[10.99]| epoch:[1] | Time:[0.60 min] | [8.83%] [8.48%] [40.20%] [37.30%] [5.19%]
2023-10-05 14:55:17 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [3/200] Loss:[0.5380] Train:[88.60] Val:[36.14] Biased Test:[62.69] Update Biased Test:[89.32] Best Biased Test:[89.32]| Unbiased Test:[11.09]  Update Unbiased Test:[10.99] Best Unbiased Test:[11.09]| epoch:[1] | Time:[0.89 min] | [12.50%] [4.28%] [37.79%] [41.84%] [3.60%]
2023-10-05 14:55:34 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [4/200] Loss:[0.5409] Train:[88.13] Val:[47.50] Biased Test:[84.50] Update Biased Test:[89.32] Best Biased Test:[89.32]| Unbiased Test:[11.07]  Update Unbiased Test:[10.99] Best Unbiased Test:[11.09]| epoch:[1] | Time:[1.18 min] | [14.78%] [3.32%] [35.61%] [39.39%] [6.90%]
2023-10-05 14:55:53 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [5/200] Loss:[0.5059] Train:[88.67] Val:[38.38] Biased Test:[67.10] Update Biased Test:[89.32] Best Biased Test:[89.32]| Unbiased Test:[9.61]  Update Unbiased Test:[10.99] Best Unbiased Test:[11.09]| epoch:[1] | Time:[1.49 min] | [14.49%] [3.44%] [34.03%] [44.42%] [3.62%]
2023-10-05 14:56:10 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [6/200] Loss:[0.5151] Train:[88.02] Val:[49.18] Biased Test:[89.82] Update Biased Test:[89.82] Best Biased Test:[89.82]| Unbiased Test:[10.03]  Update Unbiased Test:[10.03] Best Unbiased Test:[11.09]| epoch:[5] | Time:[1.77 min] | [14.74%] [2.08%] [30.42%] [47.09%] [5.67%]
2023-10-05 14:56:27 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [7/200] Loss:[0.5257] Train:[87.90] Val:[45.86] Biased Test:[84.11] Update Biased Test:[89.82] Best Biased Test:[89.82]| Unbiased Test:[10.06]  Update Unbiased Test:[10.03] Best Unbiased Test:[11.09]| epoch:[5] | Time:[2.06 min] | [5.55%] [9.43%] [60.58%] [21.68%] [2.76%]
2023-10-05 14:56:44 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [8/200] Loss:[0.4964] Train:[88.82] Val:[49.46] Biased Test:[89.96] Update Biased Test:[89.96] Best Biased Test:[89.96]| Unbiased Test:[10.63]  Update Unbiased Test:[10.63] Best Unbiased Test:[11.09]| epoch:[7] | Time:[2.35 min] | [1.91%] [8.66%] [80.49%] [8.12%] [0.83%]
2023-10-05 14:57:02 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [9/200] Loss:[0.4873] Train:[88.70] Val:[49.18] Biased Test:[88.90] Update Biased Test:[89.96] Best Biased Test:[89.96]| Unbiased Test:[10.96]  Update Unbiased Test:[10.63] Best Unbiased Test:[11.09]| epoch:[7] | Time:[2.63 min] | [2.30%] [8.45%] [78.00%] [9.40%] [1.84%]
2023-10-05 14:57:19 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [10/200] Loss:[0.4713] Train:[88.78] Val:[49.46] Biased Test:[89.95] Update Biased Test:[89.96] Best Biased Test:[89.96]| Unbiased Test:[10.46]  Update Unbiased Test:[10.63] Best Unbiased Test:[11.09]| epoch:[7] | Time:[2.92 min] | [1.09%] [8.59%] [71.60%] [15.76%] [2.96%]
2023-10-05 14:57:36 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [11/200] Loss:[0.4690] Train:[88.69] Val:[49.54] Biased Test:[89.10] Update Biased Test:[89.10] Best Biased Test:[89.96]| Unbiased Test:[11.07]  Update Unbiased Test:[11.07] Best Unbiased Test:[11.09]| epoch:[10] | Time:[3.20 min] | [4.17%] [7.96%] [57.40%] [29.02%] [1.45%]
2023-10-05 14:57:53 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [12/200] Loss:[0.4420] Train:[88.76] Val:[44.88] Biased Test:[80.00] Update Biased Test:[89.10] Best Biased Test:[89.96]| Unbiased Test:[11.60]  Update Unbiased Test:[11.07] Best Unbiased Test:[11.60]| epoch:[10] | Time:[3.49 min] | [3.23%] [9.21%] [37.14%] [48.57%] [1.85%]
2023-10-05 14:58:11 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [13/200] Loss:[0.4369] Train:[88.88] Val:[49.90] Biased Test:[89.27] Update Biased Test:[89.27] Best Biased Test:[89.96]| Unbiased Test:[12.35]  Update Unbiased Test:[12.35] Best Unbiased Test:[12.35]| epoch:[12] | Time:[3.79 min] | [0.91%] [8.37%] [31.21%] [56.55%] [2.96%]
2023-10-05 14:58:29 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [14/200] Loss:[0.4569] Train:[88.47] Val:[48.50] Biased Test:[85.63] Update Biased Test:[89.27] Best Biased Test:[89.96]| Unbiased Test:[13.23]  Update Unbiased Test:[12.35] Best Unbiased Test:[13.23]| epoch:[12] | Time:[4.08 min] | [0.00%] [5.50%] [29.66%] [62.42%] [2.42%]
2023-10-05 14:58:46 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [15/200] Loss:[0.4448] Train:[88.86] Val:[49.72] Biased Test:[87.45] Update Biased Test:[89.27] Best Biased Test:[89.96]| Unbiased Test:[14.24]  Update Unbiased Test:[12.35] Best Unbiased Test:[14.24]| epoch:[12] | Time:[4.37 min] | [0.00%] [2.10%] [33.99%] [62.06%] [1.84%]
2023-10-05 14:59:03 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [16/200] Loss:[0.4412] Train:[88.84] Val:[50.22] Biased Test:[88.33] Update Biased Test:[88.33] Best Biased Test:[89.96]| Unbiased Test:[13.15]  Update Unbiased Test:[13.15] Best Unbiased Test:[14.24]| epoch:[15] | Time:[4.66 min] | [0.00%] [2.12%] [34.86%] [59.43%] [3.59%]
