2023-10-07 10:17:39 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [1/200] Loss:[0.7898] Train:[78.86] Val:[43.84] Biased Test:[77.75] Update Biased Test:[77.75] Best Biased Test:[77.75]| Unbiased Test:[10.70]  Update Unbiased Test:[10.70] Best Unbiased Test:[10.70]| epoch:[0] | Time:[0.37 min] | [3.75%] [42.14%] [41.70%] [6.26%] [6.14%]
2023-10-07 10:17:58 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [2/200] Loss:[0.5692] Train:[88.85] Val:[48.48] Biased Test:[87.97] Update Biased Test:[87.97] Best Biased Test:[87.97]| Unbiased Test:[10.81]  Update Unbiased Test:[10.81] Best Unbiased Test:[10.81]| epoch:[1] | Time:[0.69 min] | [1.51%] [69.35%] [22.20%] [4.38%] [2.57%]
2023-10-07 10:18:17 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [3/200] Loss:[0.5056] Train:[89.75] Val:[49.26] Biased Test:[89.82] Update Biased Test:[89.82] Best Biased Test:[89.82]| Unbiased Test:[11.21]  Update Unbiased Test:[11.21] Best Unbiased Test:[11.21]| epoch:[2] | Time:[1.01 min] | [0.60%] [72.90%] [20.64%] [3.97%] [1.89%]
2023-10-07 10:18:37 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [4/200] Loss:[0.5012] Train:[89.99] Val:[48.60] Biased Test:[88.93] Update Biased Test:[89.82] Best Biased Test:[89.82]| Unbiased Test:[10.43]  Update Unbiased Test:[11.21] Best Unbiased Test:[11.21]| epoch:[2] | Time:[1.33 min] | [0.25%] [68.31%] [24.13%] [5.40%] [1.91%]
2023-10-07 10:18:56 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [5/200] Loss:[0.5460] Train:[89.46] Val:[46.26] Biased Test:[83.95] Update Biased Test:[89.82] Best Biased Test:[89.82]| Unbiased Test:[10.31]  Update Unbiased Test:[11.21] Best Unbiased Test:[11.21]| epoch:[2] | Time:[1.65 min] | [2.17%] [67.93%] [20.80%] [5.82%] [3.28%]
2023-10-07 10:19:15 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [6/200] Loss:[0.5559] Train:[88.92] Val:[49.36] Biased Test:[89.59] Update Biased Test:[89.59] Best Biased Test:[89.82]| Unbiased Test:[11.01]  Update Unbiased Test:[11.01] Best Unbiased Test:[11.21]| epoch:[5] | Time:[1.97 min] | [0.00%] [69.72%] [22.11%] [5.31%] [2.87%]
2023-10-07 10:19:35 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [7/200] Loss:[0.4768] Train:[90.18] Val:[48.02] Biased Test:[82.41] Update Biased Test:[89.59] Best Biased Test:[89.82]| Unbiased Test:[13.19]  Update Unbiased Test:[11.01] Best Unbiased Test:[13.19]| epoch:[5] | Time:[2.30 min] | [0.27%] [72.14%] [21.07%] [5.49%] [1.03%]
2023-10-07 10:19:54 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [8/200] Loss:[0.4967] Train:[89.53] Val:[49.46] Biased Test:[89.09] Update Biased Test:[89.09] Best Biased Test:[89.82]| Unbiased Test:[11.91]  Update Unbiased Test:[11.91] Best Unbiased Test:[13.19]| epoch:[7] | Time:[2.62 min] | [1.84%] [64.43%] [23.75%] [6.87%] [3.11%]
2023-10-07 10:20:13 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [9/200] Loss:[0.4376] Train:[89.54] Val:[49.92] Biased Test:[86.94] Update Biased Test:[86.94] Best Biased Test:[89.82]| Unbiased Test:[12.36]  Update Unbiased Test:[12.36] Best Unbiased Test:[13.19]| epoch:[8] | Time:[2.94 min] | [0.88%] [63.79%] [23.47%] [8.53%] [3.33%]
2023-10-07 10:20:32 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [10/200] Loss:[0.4280] Train:[89.93] Val:[49.30] Biased Test:[89.37] Update Biased Test:[86.94] Best Biased Test:[89.82]| Unbiased Test:[11.21]  Update Unbiased Test:[12.36] Best Unbiased Test:[13.19]| epoch:[8] | Time:[3.26 min] | [0.00%] [57.80%] [31.04%] [9.55%] [1.61%]
2023-10-07 10:20:52 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [11/200] Loss:[0.4344] Train:[89.85] Val:[49.82] Biased Test:[89.37] Update Biased Test:[86.94] Best Biased Test:[89.82]| Unbiased Test:[11.77]  Update Unbiased Test:[12.36] Best Unbiased Test:[13.19]| epoch:[8] | Time:[3.58 min] | [0.00%] [54.55%] [34.52%] [8.77%] [2.17%]
2023-10-07 10:21:11 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [12/200] Loss:[0.4158] Train:[89.93] Val:[49.06] Biased Test:[88.31] Update Biased Test:[86.94] Best Biased Test:[89.82]| Unbiased Test:[11.96]  Update Unbiased Test:[12.36] Best Unbiased Test:[13.19]| epoch:[8] | Time:[3.90 min] | [0.00%] [54.57%] [31.12%] [10.74%] [3.57%]
2023-10-07 10:21:30 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [13/200] Loss:[0.4274] Train:[90.03] Val:[42.34] Biased Test:[68.98] Update Biased Test:[86.94] Best Biased Test:[89.82]| Unbiased Test:[13.37]  Update Unbiased Test:[12.36] Best Unbiased Test:[13.37]| epoch:[8] | Time:[4.22 min] | [0.02%] [36.23%] [49.00%] [10.45%] [4.31%]
2023-10-07 10:21:49 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [14/200] Loss:[0.4228] Train:[89.39] Val:[50.26] Biased Test:[89.71] Update Biased Test:[89.71] Best Biased Test:[89.82]| Unbiased Test:[12.78]  Update Unbiased Test:[12.78] Best Unbiased Test:[13.37]| epoch:[13] | Time:[4.54 min] | [0.01%] [30.25%] [55.03%] [10.93%] [3.79%]
2023-10-07 10:22:08 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [15/200] Loss:[0.3639] Train:[90.29] Val:[50.20] Biased Test:[83.45] Update Biased Test:[89.71] Best Biased Test:[89.82]| Unbiased Test:[16.25]  Update Unbiased Test:[12.78] Best Unbiased Test:[16.25]| epoch:[13] | Time:[4.86 min] | [0.05%] [30.03%] [54.25%] [13.29%] [2.38%]
2023-10-07 10:22:27 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [16/200] Loss:[0.3884] Train:[90.08] Val:[52.28] Biased Test:[86.04] Update Biased Test:[86.04] Best Biased Test:[89.82]| Unbiased Test:[16.84]  Update Unbiased Test:[16.84] Best Unbiased Test:[16.84]| epoch:[15] | Time:[5.18 min] | [0.00%] [23.03%] [62.84%] [11.65%] [2.49%]
2023-10-07 10:22:47 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [17/200] Loss:[0.3742] Train:[90.15] Val:[50.40] Biased Test:[80.09] Update Biased Test:[86.04] Best Biased Test:[89.82]| Unbiased Test:[15.76]  Update Unbiased Test:[16.84] Best Unbiased Test:[16.84]| epoch:[15] | Time:[5.50 min] | [0.00%] [6.62%] [74.64%] [13.52%] [5.21%]
2023-10-07 10:23:06 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [18/200] Loss:[0.3932] Train:[90.31] Val:[52.72] Biased Test:[88.38] Update Biased Test:[88.38] Best Biased Test:[89.82]| Unbiased Test:[15.53]  Update Unbiased Test:[15.53] Best Unbiased Test:[16.84]| epoch:[17] | Time:[5.82 min] | [0.00%] [3.88%] [77.00%] [14.59%] [4.53%]
2023-10-07 10:23:25 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [19/200] Loss:[0.3745] Train:[90.60] Val:[50.98] Biased Test:[83.70] Update Biased Test:[88.38] Best Biased Test:[89.82]| Unbiased Test:[16.97]  Update Unbiased Test:[15.53] Best Unbiased Test:[16.97]| epoch:[17] | Time:[6.13 min] | [0.00%] [7.13%] [73.16%] [15.86%] [3.85%]
2023-10-07 10:23:44 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [20/200] Loss:[0.3895] Train:[89.51] Val:[51.60] Biased Test:[83.88] Update Biased Test:[88.38] Best Biased Test:[89.82]| Unbiased Test:[16.31]  Update Unbiased Test:[15.53] Best Unbiased Test:[16.97]| epoch:[17] | Time:[6.46 min] | [0.00%] [5.58%] [72.13%] [13.04%] [9.25%]
2023-10-07 10:24:04 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [21/200] Loss:[0.3762] Train:[90.14] Val:[54.62] Biased Test:[82.20] Update Biased Test:[82.20] Best Biased Test:[89.82]| Unbiased Test:[21.08]  Update Unbiased Test:[21.08] Best Unbiased Test:[21.08]| epoch:[20] | Time:[6.78 min] | [0.00%] [2.08%] [69.79%] [16.41%] [11.72%]
2023-10-07 10:24:23 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [22/200] Loss:[0.3522] Train:[90.42] Val:[56.42] Biased Test:[84.45] Update Biased Test:[84.45] Best Biased Test:[89.82]| Unbiased Test:[20.79]  Update Unbiased Test:[20.79] Best Unbiased Test:[21.08]| epoch:[21] | Time:[7.10 min] | [0.00%] [2.91%] [70.15%] [15.79%] [11.15%]
2023-10-07 10:24:42 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [23/200] Loss:[0.3323] Train:[91.08] Val:[56.90] Biased Test:[83.69] Update Biased Test:[83.69] Best Biased Test:[89.82]| Unbiased Test:[21.46]  Update Unbiased Test:[21.46] Best Unbiased Test:[21.46]| epoch:[22] | Time:[7.42 min] | [0.00%] [1.73%] [69.14%] [16.67%] [12.46%]
2023-10-07 10:25:01 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [24/200] Loss:[0.3577] Train:[90.60] Val:[53.24] Biased Test:[83.03] Update Biased Test:[83.69] Best Biased Test:[89.82]| Unbiased Test:[20.91]  Update Unbiased Test:[21.46] Best Unbiased Test:[21.46]| epoch:[22] | Time:[7.74 min] | [0.20%] [4.19%] [69.35%] [16.35%] [9.90%]
2023-10-07 10:25:20 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [25/200] Loss:[0.3909] Train:[89.68] Val:[55.08] Biased Test:[86.83] Update Biased Test:[83.69] Best Biased Test:[89.82]| Unbiased Test:[20.48]  Update Unbiased Test:[21.46] Best Unbiased Test:[21.46]| epoch:[22] | Time:[8.06 min] | [0.04%] [4.24%] [66.48%] [20.48%] [8.76%]
2023-10-07 10:25:40 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [26/200] Loss:[0.3383] Train:[90.76] Val:[58.70] Biased Test:[87.58] Update Biased Test:[87.58] Best Biased Test:[89.82]| Unbiased Test:[22.40]  Update Unbiased Test:[22.40] Best Unbiased Test:[22.40]| epoch:[25] | Time:[8.38 min] | [0.10%] [2.75%] [66.66%] [21.23%] [9.27%]
2023-10-07 10:25:59 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [27/200] Loss:[0.3674] Train:[90.73] Val:[56.70] Biased Test:[85.98] Update Biased Test:[87.58] Best Biased Test:[89.82]| Unbiased Test:[19.88]  Update Unbiased Test:[22.40] Best Unbiased Test:[22.40]| epoch:[25] | Time:[8.70 min] | [0.01%] [2.01%] [65.72%] [21.99%] [10.27%]
2023-10-07 10:26:18 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [28/200] Loss:[0.3785] Train:[89.96] Val:[55.26] Biased Test:[77.85] Update Biased Test:[87.58] Best Biased Test:[89.82]| Unbiased Test:[23.09]  Update Unbiased Test:[22.40] Best Unbiased Test:[23.09]| epoch:[25] | Time:[9.02 min] | [0.36%] [3.80%] [63.88%] [18.36%] [13.59%]
2023-10-07 10:26:37 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [29/200] Loss:[0.3122] Train:[91.08] Val:[61.18] Biased Test:[89.36] Update Biased Test:[89.36] Best Biased Test:[89.82]| Unbiased Test:[24.51]  Update Unbiased Test:[24.51] Best Unbiased Test:[24.51]| epoch:[28] | Time:[9.34 min] | [0.43%] [4.22%] [61.70%] [17.19%] [16.46%]
2023-10-07 10:26:57 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [30/200] Loss:[0.2742] Train:[92.07] Val:[62.30] Biased Test:[89.65] Update Biased Test:[89.65] Best Biased Test:[89.82]| Unbiased Test:[26.54]  Update Unbiased Test:[26.54] Best Unbiased Test:[26.54]| epoch:[29] | Time:[9.66 min] | [0.91%] [4.81%] [60.63%] [16.08%] [17.57%]
2023-10-07 10:27:16 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [31/200] Loss:[0.2809] Train:[92.23] Val:[60.58] Biased Test:[85.42] Update Biased Test:[89.65] Best Biased Test:[89.82]| Unbiased Test:[25.45]  Update Unbiased Test:[26.54] Best Unbiased Test:[26.54]| epoch:[29] | Time:[9.98 min] | [0.68%] [4.63%] [60.10%] [16.44%] [18.15%]
2023-10-07 10:27:35 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [32/200] Loss:[0.2896] Train:[91.92] Val:[62.12] Biased Test:[86.90] Update Biased Test:[89.65] Best Biased Test:[89.82]| Unbiased Test:[26.85]  Update Unbiased Test:[26.54] Best Unbiased Test:[26.85]| epoch:[29] | Time:[10.30 min] | [0.30%] [5.02%] [58.68%] [17.67%] [18.34%]
2023-10-07 10:27:54 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [33/200] Loss:[0.2781] Train:[92.20] Val:[57.62] Biased Test:[88.40] Update Biased Test:[89.65] Best Biased Test:[89.82]| Unbiased Test:[24.65]  Update Unbiased Test:[26.54] Best Unbiased Test:[26.85]| epoch:[29] | Time:[10.62 min] | [0.44%] [4.92%] [32.01%] [44.72%] [17.90%]
2023-10-07 10:28:14 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [34/200] Loss:[0.2738] Train:[92.30] Val:[63.26] Biased Test:[87.41] Update Biased Test:[87.41] Best Biased Test:[89.82]| Unbiased Test:[27.71]  Update Unbiased Test:[27.71] Best Unbiased Test:[27.71]| epoch:[33] | Time:[10.95 min] | [0.28%] [3.55%] [25.61%] [49.93%] [20.64%]
2023-10-07 10:28:34 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [35/200] Loss:[0.2719] Train:[91.74] Val:[59.82] Biased Test:[85.79] Update Biased Test:[87.41] Best Biased Test:[89.82]| Unbiased Test:[26.44]  Update Unbiased Test:[27.71] Best Unbiased Test:[27.71]| epoch:[33] | Time:[11.27 min] | [0.31%] [4.34%] [24.39%] [50.85%] [20.11%]
2023-10-07 10:28:53 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [36/200] Loss:[0.2501] Train:[92.58] Val:[52.40] Biased Test:[74.06] Update Biased Test:[87.41] Best Biased Test:[89.82]| Unbiased Test:[24.69]  Update Unbiased Test:[27.71] Best Unbiased Test:[27.71]| epoch:[33] | Time:[11.59 min] | [0.63%] [4.57%] [23.91%] [49.96%] [20.92%]
2023-10-07 10:29:12 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [37/200] Loss:[0.2578] Train:[92.52] Val:[61.70] Biased Test:[83.81] Update Biased Test:[87.41] Best Biased Test:[89.82]| Unbiased Test:[28.46]  Update Unbiased Test:[27.71] Best Unbiased Test:[28.46]| epoch:[33] | Time:[11.91 min] | [0.29%] [4.18%] [23.46%] [50.85%] [21.22%]
2023-10-07 10:29:31 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [38/200] Loss:[0.2512] Train:[92.79] Val:[52.52] Biased Test:[75.85] Update Biased Test:[87.41] Best Biased Test:[89.82]| Unbiased Test:[24.58]  Update Unbiased Test:[27.71] Best Unbiased Test:[28.46]| epoch:[33] | Time:[12.23 min] | [0.22%] [4.17%] [20.40%] [53.39%] [21.83%]
2023-10-07 10:29:50 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [39/200] Loss:[0.2629] Train:[92.49] Val:[58.60] Biased Test:[79.28] Update Biased Test:[87.41] Best Biased Test:[89.82]| Unbiased Test:[27.80]  Update Unbiased Test:[27.71] Best Unbiased Test:[28.46]| epoch:[33] | Time:[12.55 min] | [0.09%] [3.99%] [21.99%] [50.12%] [23.80%]
2023-10-07 10:30:10 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [40/200] Loss:[0.2617] Train:[92.33] Val:[62.54] Biased Test:[84.51] Update Biased Test:[87.41] Best Biased Test:[89.82]| Unbiased Test:[28.15]  Update Unbiased Test:[27.71] Best Unbiased Test:[28.46]| epoch:[33] | Time:[12.87 min] | [0.19%] [3.60%] [18.48%] [55.98%] [21.75%]
