2023-10-07 15:20:23 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [1/200] Loss:[0.3045] Train:[62.09] Val:[14.54] Biased Test:[19.25] Update Biased Test:[19.25] Best Biased Test:[19.25]| Unbiased Test:[10.02]  Update Unbiased Test:[10.02] Best Unbiased Test:[10.02]| epoch:[0] | Time:[0.31 min] | [1.32%] [39.22%] [55.61%] [3.86%] [0.00%]
2023-10-07 15:20:41 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [2/200] Loss:[0.1150] Train:[9.06] Val:[5.98] Biased Test:[0.67] Update Biased Test:[19.25] Best Biased Test:[19.25]| Unbiased Test:[10.90]  Update Unbiased Test:[10.02] Best Unbiased Test:[10.90]| epoch:[0] | Time:[0.60 min] | [10.78%] [59.83%] [29.23%] [0.16%] [0.00%]
2023-10-07 15:20:58 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [3/200] Loss:[0.1092] Train:[0.77] Val:[6.98] Biased Test:[0.72] Update Biased Test:[19.25] Best Biased Test:[19.25]| Unbiased Test:[12.29]  Update Unbiased Test:[10.02] Best Unbiased Test:[12.29]| epoch:[0] | Time:[0.88 min] | [21.23%] [44.60%] [33.56%] [0.61%] [0.00%]
2023-10-07 15:21:15 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [4/200] Loss:[0.1057] Train:[2.08] Val:[6.72] Biased Test:[0.74] Update Biased Test:[19.25] Best Biased Test:[19.25]| Unbiased Test:[12.19]  Update Unbiased Test:[10.02] Best Unbiased Test:[12.29]| epoch:[0] | Time:[1.16 min] | [17.88%] [51.12%] [29.41%] [1.58%] [0.00%]
2023-10-07 15:21:31 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [5/200] Loss:[0.1217] Train:[0.72] Val:[7.22] Biased Test:[0.74] Update Biased Test:[19.25] Best Biased Test:[19.25]| Unbiased Test:[12.09]  Update Unbiased Test:[10.02] Best Unbiased Test:[12.29]| epoch:[0] | Time:[1.44 min] | [21.16%] [51.63%] [26.36%] [0.85%] [0.00%]
2023-10-07 15:21:48 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [6/200] Loss:[0.1286] Train:[5.95] Val:[8.24] Biased Test:[0.87] Update Biased Test:[19.25] Best Biased Test:[19.25]| Unbiased Test:[14.14]  Update Unbiased Test:[10.02] Best Unbiased Test:[14.14]| epoch:[0] | Time:[1.72 min] | [27.07%] [55.45%] [13.28%] [4.19%] [0.01%]
2023-10-07 15:22:05 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [7/200] Loss:[0.1172] Train:[2.53] Val:[12.28] Biased Test:[5.14] Update Biased Test:[19.25] Best Biased Test:[19.25]| Unbiased Test:[16.94]  Update Unbiased Test:[10.02] Best Unbiased Test:[16.94]| epoch:[0] | Time:[2.00 min] | [16.49%] [80.27%] [3.24%] [0.00%] [0.00%]
2023-10-07 15:22:22 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [8/200] Loss:[0.1087] Train:[3.82] Val:[10.64] Biased Test:[0.91] Update Biased Test:[19.25] Best Biased Test:[19.25]| Unbiased Test:[17.24]  Update Unbiased Test:[10.02] Best Unbiased Test:[17.24]| epoch:[0] | Time:[2.28 min] | [13.45%] [81.30%] [5.20%] [0.06%] [0.00%]
2023-10-07 15:22:38 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [9/200] Loss:[0.1000] Train:[3.81] Val:[11.02] Biased Test:[0.78] Update Biased Test:[19.25] Best Biased Test:[19.25]| Unbiased Test:[16.14]  Update Unbiased Test:[10.02] Best Unbiased Test:[17.24]| epoch:[0] | Time:[2.56 min] | [9.03%] [83.24%] [7.64%] [0.09%] [0.00%]
2023-10-07 15:22:55 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [10/200] Loss:[0.1067] Train:[6.96] Val:[16.36] Biased Test:[10.66] Update Biased Test:[10.66] Best Biased Test:[19.25]| Unbiased Test:[18.97]  Update Unbiased Test:[18.97] Best Unbiased Test:[18.97]| epoch:[9] | Time:[2.84 min] | [9.70%] [81.72%] [8.58%] [0.00%] [0.00%]
2023-10-07 15:23:12 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [11/200] Loss:[0.1292] Train:[15.08] Val:[14.78] Biased Test:[8.57] Update Biased Test:[10.66] Best Biased Test:[19.25]| Unbiased Test:[17.67]  Update Unbiased Test:[18.97] Best Unbiased Test:[18.97]| epoch:[9] | Time:[3.12 min] | [21.19%] [68.67%] [10.13%] [0.00%] [0.00%]
2023-10-07 15:23:29 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [12/200] Loss:[0.1099] Train:[6.25] Val:[18.74] Biased Test:[9.26] Update Biased Test:[9.26] Best Biased Test:[19.25]| Unbiased Test:[20.31]  Update Unbiased Test:[20.31] Best Unbiased Test:[20.31]| epoch:[11] | Time:[3.39 min] | [17.71%] [78.07%] [4.21%] [0.00%] [0.00%]
2023-10-07 15:23:45 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [13/200] Loss:[0.1240] Train:[8.20] Val:[15.02] Biased Test:[2.10] Update Biased Test:[9.26] Best Biased Test:[19.25]| Unbiased Test:[19.84]  Update Unbiased Test:[20.31] Best Unbiased Test:[20.31]| epoch:[11] | Time:[3.67 min] | [11.68%] [75.83%] [12.49%] [0.00%] [0.00%]
2023-10-07 15:24:02 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [14/200] Loss:[0.0962] Train:[3.91] Val:[17.52] Biased Test:[4.39] Update Biased Test:[9.26] Best Biased Test:[19.25]| Unbiased Test:[22.71]  Update Unbiased Test:[20.31] Best Unbiased Test:[22.71]| epoch:[11] | Time:[3.95 min] | [3.65%] [68.98%] [27.37%] [0.00%] [0.00%]
2023-10-07 15:24:19 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [15/200] Loss:[0.0904] Train:[5.09] Val:[17.10] Biased Test:[1.58] Update Biased Test:[9.26] Best Biased Test:[19.25]| Unbiased Test:[24.56]  Update Unbiased Test:[20.31] Best Unbiased Test:[24.56]| epoch:[11] | Time:[4.23 min] | [9.31%] [67.82%] [22.87%] [0.00%] [0.00%]
2023-10-07 15:24:35 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [16/200] Loss:[0.0991] Train:[5.14] Val:[12.56] Biased Test:[1.11] Update Biased Test:[9.26] Best Biased Test:[19.25]| Unbiased Test:[18.94]  Update Unbiased Test:[20.31] Best Unbiased Test:[24.56]| epoch:[11] | Time:[4.51 min] | [4.04%] [85.51%] [10.45%] [0.00%] [0.00%]
