2023-10-07 11:23:27 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [1/200] Loss:[0.5852] Train:[81.77] Val:[39.00] Biased Test:[70.28] Update Biased Test:[70.28] Best Biased Test:[70.28]| Unbiased Test:[10.42]  Update Unbiased Test:[10.42] Best Unbiased Test:[10.42]| epoch:[0] | Time:[0.31 min] | [0.01%] [2.03%] [72.99%] [15.27%] [9.70%]
2023-10-07 11:23:45 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [2/200] Loss:[0.5382] Train:[87.55] Val:[43.34] Biased Test:[77.85] Update Biased Test:[77.85] Best Biased Test:[77.85]| Unbiased Test:[11.14]  Update Unbiased Test:[11.14] Best Unbiased Test:[11.14]| epoch:[1] | Time:[0.60 min] | [0.00%] [0.86%] [77.66%] [11.89%] [9.59%]
2023-10-07 11:24:02 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [3/200] Loss:[0.4841] Train:[89.25] Val:[43.58] Biased Test:[79.75] Update Biased Test:[79.75] Best Biased Test:[79.75]| Unbiased Test:[10.51]  Update Unbiased Test:[10.51] Best Unbiased Test:[11.14]| epoch:[2] | Time:[0.88 min] | [0.00%] [2.48%] [75.42%] [13.68%] [8.42%]
2023-10-07 11:24:18 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [4/200] Loss:[0.4961] Train:[89.26] Val:[48.84] Biased Test:[89.56] Update Biased Test:[89.56] Best Biased Test:[89.56]| Unbiased Test:[10.68]  Update Unbiased Test:[10.68] Best Unbiased Test:[11.14]| epoch:[3] | Time:[1.16 min] | [0.00%] [2.31%] [75.43%] [17.91%] [4.35%]
2023-10-07 11:24:35 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [5/200] Loss:[0.4791] Train:[90.08] Val:[46.78] Biased Test:[85.62] Update Biased Test:[89.56] Best Biased Test:[89.56]| Unbiased Test:[10.83]  Update Unbiased Test:[10.68] Best Unbiased Test:[11.14]| epoch:[3] | Time:[1.43 min] | [0.00%] [0.30%] [71.77%] [19.78%] [8.15%]
2023-10-07 11:24:51 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [6/200] Loss:[0.5480] Train:[88.71] Val:[45.72] Biased Test:[81.53] Update Biased Test:[89.56] Best Biased Test:[89.56]| Unbiased Test:[12.21]  Update Unbiased Test:[10.68] Best Unbiased Test:[12.21]| epoch:[3] | Time:[1.70 min] | [0.00%] [4.61%] [60.55%] [30.22%] [4.62%]
2023-10-07 11:25:08 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [7/200] Loss:[0.5462] Train:[87.38] Val:[45.60] Biased Test:[82.71] Update Biased Test:[89.56] Best Biased Test:[89.56]| Unbiased Test:[10.85]  Update Unbiased Test:[10.68] Best Unbiased Test:[12.21]| epoch:[3] | Time:[1.98 min] | [0.00%] [9.42%] [51.90%] [32.94%] [5.74%]
2023-10-07 11:25:24 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [8/200] Loss:[0.4546] Train:[89.97] Val:[46.58] Biased Test:[83.13] Update Biased Test:[89.56] Best Biased Test:[89.56]| Unbiased Test:[11.68]  Update Unbiased Test:[10.68] Best Unbiased Test:[12.21]| epoch:[3] | Time:[2.25 min] | [0.00%] [15.77%] [40.89%] [37.67%] [5.67%]
2023-10-07 11:25:40 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [9/200] Loss:[0.4469] Train:[89.32] Val:[49.58] Biased Test:[89.80] Update Biased Test:[89.80] Best Biased Test:[89.80]| Unbiased Test:[11.50]  Update Unbiased Test:[11.50] Best Unbiased Test:[12.21]| epoch:[8] | Time:[2.53 min] | [0.07%] [16.95%] [31.21%] [48.46%] [3.31%]
2023-10-07 11:25:57 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [10/200] Loss:[0.4300] Train:[89.90] Val:[48.98] Biased Test:[85.45] Update Biased Test:[89.80] Best Biased Test:[89.80]| Unbiased Test:[12.69]  Update Unbiased Test:[11.50] Best Unbiased Test:[12.69]| epoch:[8] | Time:[2.80 min] | [0.24%] [17.24%] [48.81%] [30.28%] [3.43%]
2023-10-07 11:26:13 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [11/200] Loss:[0.4188] Train:[90.36] Val:[47.12] Biased Test:[83.43] Update Biased Test:[89.80] Best Biased Test:[89.80]| Unbiased Test:[11.38]  Update Unbiased Test:[11.50] Best Unbiased Test:[12.69]| epoch:[8] | Time:[3.08 min] | [0.14%] [19.67%] [49.65%] [28.66%] [1.88%]
