2023-11-28 23:37:21 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [1/200] Loss:[0.4468] Train:[44.65] Val:[27.00] Biased Test:[24.05] Update Biased Test:[24.05] Best Biased Test:[24.05]| Unbiased Test:[28.82]  Update Unbiased Test:[28.82] Best Unbiased Test:[28.82]| Unseen Test:[29.24]  Update Unseen Test:[29.24] Best Unseen Test:[29.24]| epoch:[0] | Time:[0.15 min] | [14.00%] [27.68%] [29.73%] [28.59%] [0.00%]
2023-11-28 23:37:30 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [2/200] Loss:[0.2247] Train:[26.56] Val:[33.00] Biased Test:[25.60] Update Biased Test:[25.60] Best Biased Test:[25.60]| Unbiased Test:[42.16]  Update Unbiased Test:[42.16] Best Unbiased Test:[42.16]| Unseen Test:[42.00]  Update Unseen Test:[42.00] Best Unseen Test:[42.00]| epoch:[1] | Time:[0.29 min] | [25.78%] [30.70%] [40.41%] [3.12%] [0.00%]
2023-11-28 23:37:42 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [3/200] Loss:[0.1971] Train:[26.64] Val:[37.59] Biased Test:[29.63] Update Biased Test:[29.63] Best Biased Test:[29.63]| Unbiased Test:[44.26]  Update Unbiased Test:[44.26] Best Unbiased Test:[44.26]| Unseen Test:[42.88]  Update Unseen Test:[42.88] Best Unseen Test:[42.88]| epoch:[2] | Time:[0.49 min] | [26.92%] [27.66%] [30.31%] [15.10%] [0.00%]
2023-11-28 23:37:51 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [4/200] Loss:[0.1644] Train:[28.87] Val:[38.77] Biased Test:[37.06] Update Biased Test:[37.06] Best Biased Test:[37.06]| Unbiased Test:[40.31]  Update Unbiased Test:[40.31] Best Unbiased Test:[44.26]| Unseen Test:[40.57]  Update Unseen Test:[40.57] Best Unseen Test:[42.88]| epoch:[3] | Time:[0.65 min] | [26.34%] [26.61%] [11.90%] [34.75%] [0.39%]
2023-11-28 23:38:00 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [5/200] Loss:[0.1747] Train:[34.06] Val:[21.32] Biased Test:[13.59] Update Biased Test:[37.06] Best Biased Test:[37.06]| Unbiased Test:[29.65]  Update Unbiased Test:[40.31] Best Unbiased Test:[44.26]| Unseen Test:[25.01]  Update Unseen Test:[40.57] Best Unseen Test:[42.88]| epoch:[3] | Time:[0.79 min] | [32.61%] [19.89%] [10.58%] [36.49%] [0.42%]
2023-11-28 23:38:08 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [6/200] Loss:[0.1621] Train:[31.76] Val:[34.41] Biased Test:[26.52] Update Biased Test:[37.06] Best Biased Test:[37.06]| Unbiased Test:[42.89]  Update Unbiased Test:[40.31] Best Unbiased Test:[44.26]| Unseen Test:[42.48]  Update Unseen Test:[40.57] Best Unseen Test:[42.88]| epoch:[3] | Time:[0.94 min] | [29.32%] [24.29%] [6.77%] [22.78%] [16.85%]
2023-11-28 23:38:17 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [7/200] Loss:[0.1558] Train:[35.10] Val:[36.78] Biased Test:[28.09] Update Biased Test:[37.06] Best Biased Test:[37.06]| Unbiased Test:[47.60]  Update Unbiased Test:[40.31] Best Unbiased Test:[47.60]| Unseen Test:[46.01]  Update Unseen Test:[40.57] Best Unseen Test:[46.01]| epoch:[3] | Time:[1.08 min] | [36.11%] [16.31%] [6.68%] [28.31%] [12.59%]
2023-11-28 23:38:26 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [8/200] Loss:[0.1488] Train:[33.83] Val:[34.67] Biased Test:[24.91] Update Biased Test:[37.06] Best Biased Test:[37.06]| Unbiased Test:[45.85]  Update Unbiased Test:[40.31] Best Unbiased Test:[47.60]| Unseen Test:[46.99]  Update Unseen Test:[40.57] Best Unseen Test:[46.99]| epoch:[3] | Time:[1.22 min] | [37.02%] [15.91%] [6.70%] [26.07%] [14.31%]
2023-11-28 23:38:34 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [9/200] Loss:[0.1425] Train:[35.14] Val:[41.03] Biased Test:[33.34] Update Biased Test:[33.34] Best Biased Test:[37.06]| Unbiased Test:[48.09]  Update Unbiased Test:[48.09] Best Unbiased Test:[48.09]| Unseen Test:[48.00]  Update Unseen Test:[48.00] Best Unseen Test:[48.00]| epoch:[8] | Time:[1.36 min] | [38.58%] [14.62%] [6.02%] [18.55%] [22.23%]
2023-11-28 23:38:42 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [10/200] Loss:[0.1485] Train:[36.04] Val:[39.09] Biased Test:[32.88] Update Biased Test:[33.34] Best Biased Test:[37.06]| Unbiased Test:[44.78]  Update Unbiased Test:[48.09] Best Unbiased Test:[48.09]| Unseen Test:[42.30]  Update Unseen Test:[48.00] Best Unseen Test:[48.00]| epoch:[8] | Time:[1.50 min] | [37.59%] [14.34%] [8.28%] [24.56%] [15.23%]
2023-11-28 23:38:51 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [11/200] Loss:[0.1464] Train:[32.03] Val:[33.78] Biased Test:[24.46] Update Biased Test:[33.34] Best Biased Test:[37.06]| Unbiased Test:[44.94]  Update Unbiased Test:[48.09] Best Unbiased Test:[48.09]| Unseen Test:[43.43]  Update Unseen Test:[48.00] Best Unseen Test:[48.00]| epoch:[8] | Time:[1.64 min] | [40.72%] [10.28%] [8.48%] [22.66%] [17.87%]
