2023-11-28 16:59:27 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [1/200] Loss:[1.0211] Train:[71.18] Val:[33.28] Biased Test:[51.11] Update Biased Test:[51.11] Best Biased Test:[51.11]| Unbiased Test:[9.98]  Update Unbiased Test:[9.98] Best Unbiased Test:[9.98]| Unseen Test:[9.82]  Update Unseen Test:[9.82] Best Unseen Test:[9.82]| epoch:[0] | Time:[0.15 min] | [9.57%] [34.87%] [33.78%] [12.41%] [9.37%]
2023-11-28 16:59:35 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [2/200] Loss:[0.9014] Train:[78.08] Val:[45.28] Biased Test:[72.33] Update Biased Test:[72.33] Best Biased Test:[72.33]| Unbiased Test:[10.71]  Update Unbiased Test:[10.71] Best Unbiased Test:[10.71]| Unseen Test:[10.41]  Update Unseen Test:[10.41] Best Unseen Test:[10.41]| epoch:[1] | Time:[0.29 min] | [12.83%] [42.03%] [27.91%] [10.50%] [6.74%]
2023-11-28 16:59:45 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [3/200] Loss:[0.9459] Train:[77.95] Val:[40.08] Biased Test:[61.99] Update Biased Test:[72.33] Best Biased Test:[72.33]| Unbiased Test:[10.20]  Update Unbiased Test:[10.71] Best Unbiased Test:[10.71]| Unseen Test:[10.91]  Update Unseen Test:[10.41] Best Unseen Test:[10.91]| epoch:[1] | Time:[0.45 min] | [17.43%] [42.22%] [25.25%] [9.48%] [5.62%]
2023-11-28 16:59:53 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [4/200] Loss:[0.9113] Train:[77.57] Val:[28.38] Biased Test:[41.28] Update Biased Test:[72.33] Best Biased Test:[72.33]| Unbiased Test:[12.77]  Update Unbiased Test:[10.71] Best Unbiased Test:[12.77]| Unseen Test:[11.60]  Update Unseen Test:[10.41] Best Unseen Test:[11.60]| epoch:[1] | Time:[0.59 min] | [27.77%] [31.55%] [30.24%] [5.48%] [4.95%]
2023-11-28 17:00:01 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [5/200] Loss:[0.8130] Train:[78.49] Val:[45.34] Biased Test:[72.18] Update Biased Test:[72.18] Best Biased Test:[72.33]| Unbiased Test:[11.11]  Update Unbiased Test:[11.11] Best Unbiased Test:[12.77]| Unseen Test:[10.85]  Update Unseen Test:[10.85] Best Unseen Test:[11.60]| epoch:[4] | Time:[0.72 min] | [30.15%] [24.25%] [37.71%] [4.88%] [3.01%]
2023-11-28 17:00:09 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [6/200] Loss:[0.7731] Train:[78.89] Val:[42.28] Biased Test:[65.06] Update Biased Test:[72.18] Best Biased Test:[72.33]| Unbiased Test:[13.53]  Update Unbiased Test:[11.11] Best Unbiased Test:[13.53]| Unseen Test:[10.80]  Update Unseen Test:[10.85] Best Unseen Test:[11.60]| epoch:[4] | Time:[0.85 min] | [33.40%] [22.77%] [36.85%] [4.46%] [2.52%]
2023-11-28 17:00:18 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [7/200] Loss:[0.7961] Train:[78.38] Val:[40.66] Biased Test:[64.11] Update Biased Test:[72.18] Best Biased Test:[72.33]| Unbiased Test:[13.19]  Update Unbiased Test:[11.11] Best Unbiased Test:[13.53]| Unseen Test:[10.94]  Update Unseen Test:[10.85] Best Unseen Test:[11.60]| epoch:[4] | Time:[1.00 min] | [31.62%] [23.48%] [37.70%] [3.98%] [3.21%]
2023-11-28 17:00:27 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [8/200] Loss:[0.7660] Train:[79.14] Val:[40.74] Biased Test:[64.74] Update Biased Test:[72.18] Best Biased Test:[72.33]| Unbiased Test:[11.27]  Update Unbiased Test:[11.11] Best Unbiased Test:[13.53]| Unseen Test:[10.47]  Update Unseen Test:[10.85] Best Unseen Test:[11.60]| epoch:[4] | Time:[1.16 min] | [27.66%] [23.98%] [41.68%] [4.09%] [2.60%]
2023-11-28 17:00:36 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [9/200] Loss:[0.8656] Train:[77.94] Val:[41.74] Biased Test:[64.58] Update Biased Test:[72.18] Best Biased Test:[72.33]| Unbiased Test:[11.91]  Update Unbiased Test:[11.11] Best Unbiased Test:[13.53]| Unseen Test:[11.08]  Update Unseen Test:[10.85] Best Unseen Test:[11.60]| epoch:[4] | Time:[1.30 min] | [19.96%] [30.76%] [42.67%] [4.40%] [2.21%]
2023-11-28 17:00:46 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [10/200] Loss:[0.8265] Train:[78.94] Val:[44.92] Biased Test:[72.04] Update Biased Test:[72.18] Best Biased Test:[72.33]| Unbiased Test:[11.97]  Update Unbiased Test:[11.11] Best Unbiased Test:[13.53]| Unseen Test:[10.24]  Update Unseen Test:[10.85] Best Unseen Test:[11.60]| epoch:[4] | Time:[1.46 min] | [17.13%] [32.34%] [44.20%] [4.30%] [2.03%]
2023-11-28 17:00:54 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [11/200] Loss:[0.8406] Train:[78.94] Val:[38.16] Biased Test:[58.07] Update Biased Test:[72.18] Best Biased Test:[72.33]| Unbiased Test:[13.44]  Update Unbiased Test:[11.11] Best Unbiased Test:[13.53]| Unseen Test:[11.46]  Update Unseen Test:[10.85] Best Unseen Test:[11.60]| epoch:[4] | Time:[1.60 min] | [20.32%] [30.70%] [41.90%] [4.85%] [2.23%]
2023-11-28 17:01:03 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [12/200] Loss:[0.8493] Train:[78.35] Val:[40.26] Biased Test:[60.73] Update Biased Test:[72.18] Best Biased Test:[72.33]| Unbiased Test:[12.69]  Update Unbiased Test:[11.11] Best Unbiased Test:[13.53]| Unseen Test:[11.46]  Update Unseen Test:[10.85] Best Unseen Test:[11.60]| epoch:[4] | Time:[1.75 min] | [26.41%] [17.18%] [50.36%] [4.94%] [1.10%]
2023-11-28 17:01:11 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [13/200] Loss:[0.8275] Train:[78.36] Val:[46.04] Biased Test:[71.42] Update Biased Test:[71.42] Best Biased Test:[72.33]| Unbiased Test:[12.93]  Update Unbiased Test:[12.93] Best Unbiased Test:[13.53]| Unseen Test:[10.75]  Update Unseen Test:[10.75] Best Unseen Test:[11.60]| epoch:[12] | Time:[1.89 min] | [20.95%] [27.74%] [44.29%] [4.20%] [2.82%]
2023-11-28 17:01:20 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [14/200] Loss:[0.8232] Train:[78.22] Val:[45.76] Biased Test:[70.14] Update Biased Test:[71.42] Best Biased Test:[72.33]| Unbiased Test:[12.72]  Update Unbiased Test:[12.93] Best Unbiased Test:[13.53]| Unseen Test:[10.80]  Update Unseen Test:[10.75] Best Unseen Test:[11.60]| epoch:[12] | Time:[2.03 min] | [17.51%] [29.86%] [44.96%] [4.32%] [3.34%]
2023-11-28 17:01:28 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [15/200] Loss:[0.7523] Train:[79.23] Val:[45.62] Biased Test:[72.02] Update Biased Test:[71.42] Best Biased Test:[72.33]| Unbiased Test:[12.11]  Update Unbiased Test:[12.93] Best Unbiased Test:[13.53]| Unseen Test:[10.87]  Update Unseen Test:[10.75] Best Unseen Test:[11.60]| epoch:[12] | Time:[2.17 min] | [17.27%] [33.34%] [40.91%] [7.57%] [0.90%]
2023-11-28 17:01:36 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [16/200] Loss:[0.7398] Train:[79.53] Val:[40.62] Biased Test:[63.44] Update Biased Test:[71.42] Best Biased Test:[72.33]| Unbiased Test:[13.28]  Update Unbiased Test:[12.93] Best Unbiased Test:[13.53]| Unseen Test:[13.07]  Update Unseen Test:[10.75] Best Unseen Test:[13.07]| epoch:[12] | Time:[2.31 min] | [17.55%] [36.96%] [33.69%] [11.25%] [0.55%]
2023-11-28 17:01:44 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [17/200] Loss:[0.7800] Train:[78.62] Val:[46.30] Biased Test:[70.90] Update Biased Test:[70.90] Best Biased Test:[72.33]| Unbiased Test:[15.33]  Update Unbiased Test:[15.33] Best Unbiased Test:[15.33]| Unseen Test:[13.06]  Update Unseen Test:[13.06] Best Unseen Test:[13.07]| epoch:[16] | Time:[2.44 min] | [22.27%] [34.80%] [28.44%] [13.73%] [0.76%]
2023-11-28 17:01:52 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [18/200] Loss:[0.7671] Train:[79.27] Val:[45.90] Biased Test:[69.16] Update Biased Test:[70.90] Best Biased Test:[72.33]| Unbiased Test:[16.65]  Update Unbiased Test:[15.33] Best Unbiased Test:[16.65]| Unseen Test:[13.81]  Update Unseen Test:[13.06] Best Unseen Test:[13.81]| epoch:[16] | Time:[2.57 min] | [22.50%] [34.39%] [27.57%] [13.11%] [2.44%]
