2023-11-28 22:37:10 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [1/200] Loss:[0.9819] Train:[68.88] Val:[45.28] Biased Test:[66.74] Update Biased Test:[66.74] Best Biased Test:[66.74]| Unbiased Test:[17.95]  Update Unbiased Test:[17.95] Best Unbiased Test:[17.95]| Unseen Test:[18.04]  Update Unseen Test:[18.04] Best Unseen Test:[18.04]| epoch:[0] | Time:[0.15 min] | [0.46%] [21.45%] [67.21%] [8.78%] [2.10%]
2023-11-28 22:37:21 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [2/200] Loss:[0.6066] Train:[82.46] Val:[55.45] Biased Test:[71.93] Update Biased Test:[71.93] Best Biased Test:[71.93]| Unbiased Test:[32.02]  Update Unbiased Test:[32.02] Best Unbiased Test:[32.02]| Unseen Test:[28.61]  Update Unseen Test:[28.61] Best Unseen Test:[28.61]| epoch:[1] | Time:[0.32 min] | [1.43%] [19.35%] [65.76%] [11.59%] [1.87%]
2023-11-28 22:37:29 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [3/200] Loss:[0.5676] Train:[84.13] Val:[48.44] Biased Test:[61.11] Update Biased Test:[71.93] Best Biased Test:[71.93]| Unbiased Test:[30.71]  Update Unbiased Test:[32.02] Best Unbiased Test:[32.02]| Unseen Test:[32.35]  Update Unseen Test:[28.61] Best Unseen Test:[32.35]| epoch:[1] | Time:[0.46 min] | [3.90%] [13.34%] [64.07%] [14.87%] [3.82%]
2023-11-28 22:37:38 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [4/200] Loss:[0.6020] Train:[81.96] Val:[52.76] Biased Test:[67.54] Update Biased Test:[71.93] Best Biased Test:[71.93]| Unbiased Test:[33.05]  Update Unbiased Test:[32.02] Best Unbiased Test:[33.05]| Unseen Test:[36.67]  Update Unseen Test:[28.61] Best Unseen Test:[36.67]| epoch:[1] | Time:[0.61 min] | [4.69%] [15.72%] [57.34%] [12.56%] [9.69%]
2023-11-28 22:37:47 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [5/200] Loss:[0.4522] Train:[86.10] Val:[62.36] Biased Test:[78.03] Update Biased Test:[78.03] Best Biased Test:[78.03]| Unbiased Test:[40.79]  Update Unbiased Test:[40.79] Best Unbiased Test:[40.79]| Unseen Test:[40.97]  Update Unseen Test:[40.97] Best Unseen Test:[40.97]| epoch:[4] | Time:[0.76 min] | [6.56%] [15.58%] [54.93%] [14.79%] [8.14%]
2023-11-28 22:37:55 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [6/200] Loss:[0.4134] Train:[87.36] Val:[51.82] Biased Test:[63.51] Update Biased Test:[78.03] Best Biased Test:[78.03]| Unbiased Test:[34.39]  Update Unbiased Test:[40.79] Best Unbiased Test:[40.79]| Unseen Test:[34.07]  Update Unseen Test:[40.97] Best Unseen Test:[40.97]| epoch:[4] | Time:[0.90 min] | [9.39%] [14.48%] [52.71%] [13.96%] [9.46%]
2023-11-28 22:38:04 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [7/200] Loss:[0.4533] Train:[86.21] Val:[66.84] Biased Test:[83.40] Update Biased Test:[83.40] Best Biased Test:[83.40]| Unbiased Test:[43.95]  Update Unbiased Test:[43.95] Best Unbiased Test:[43.95]| Unseen Test:[46.51]  Update Unseen Test:[46.51] Best Unseen Test:[46.51]| epoch:[6] | Time:[1.04 min] | [6.94%] [15.63%] [42.27%] [19.69%] [15.47%]
2023-11-28 22:38:12 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [8/200] Loss:[0.4180] Train:[86.66] Val:[53.91] Biased Test:[61.90] Update Biased Test:[83.40] Best Biased Test:[83.40]| Unbiased Test:[41.34]  Update Unbiased Test:[43.95] Best Unbiased Test:[43.95]| Unseen Test:[41.25]  Update Unseen Test:[46.51] Best Unseen Test:[46.51]| epoch:[6] | Time:[1.18 min] | [6.69%] [15.13%] [39.93%] [19.92%] [18.33%]
2023-11-28 22:38:21 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [9/200] Loss:[0.3991] Train:[87.36] Val:[68.51] Biased Test:[82.72] Update Biased Test:[82.72] Best Biased Test:[83.40]| Unbiased Test:[50.02]  Update Unbiased Test:[50.02] Best Unbiased Test:[50.02]| Unseen Test:[52.07]  Update Unseen Test:[52.07] Best Unseen Test:[52.07]| epoch:[8] | Time:[1.33 min] | [9.09%] [13.37%] [37.23%] [23.67%] [16.64%]
2023-11-28 22:38:30 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [10/200] Loss:[0.3697] Train:[88.03] Val:[66.65] Biased Test:[79.73] Update Biased Test:[82.72] Best Biased Test:[83.40]| Unbiased Test:[48.69]  Update Unbiased Test:[50.02] Best Unbiased Test:[50.02]| Unseen Test:[48.74]  Update Unseen Test:[52.07] Best Unseen Test:[52.07]| epoch:[8] | Time:[1.47 min] | [9.28%] [12.96%] [34.69%] [24.95%] [18.12%]
2023-11-28 22:38:38 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [11/200] Loss:[0.3488] Train:[88.93] Val:[64.47] Biased Test:[77.36] Update Biased Test:[82.72] Best Biased Test:[83.40]| Unbiased Test:[45.61]  Update Unbiased Test:[50.02] Best Unbiased Test:[50.02]| Unseen Test:[41.02]  Update Unseen Test:[52.07] Best Unseen Test:[52.07]| epoch:[8] | Time:[1.61 min] | [11.02%] [13.07%] [33.07%] [22.78%] [20.05%]
2023-11-28 22:38:47 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [12/200] Loss:[0.3481] Train:[88.70] Val:[71.69] Biased Test:[86.26] Update Biased Test:[86.26] Best Biased Test:[86.26]| Unbiased Test:[51.00]  Update Unbiased Test:[51.00] Best Unbiased Test:[51.00]| Unseen Test:[53.64]  Update Unseen Test:[53.64] Best Unseen Test:[53.64]| epoch:[11] | Time:[1.76 min] | [8.63%] [14.07%] [33.82%] [24.96%] [18.51%]
2023-11-28 22:38:56 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [13/200] Loss:[0.3315] Train:[89.83] Val:[68.36] Biased Test:[80.09] Update Biased Test:[86.26] Best Biased Test:[86.26]| Unbiased Test:[52.68]  Update Unbiased Test:[51.00] Best Unbiased Test:[52.68]| Unseen Test:[52.62]  Update Unseen Test:[53.64] Best Unseen Test:[53.64]| epoch:[11] | Time:[1.91 min] | [10.25%] [13.32%] [34.45%] [23.34%] [18.64%]
2023-11-28 22:39:05 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [14/200] Loss:[0.3278] Train:[89.24] Val:[71.86] Biased Test:[85.90] Update Biased Test:[85.90] Best Biased Test:[86.26]| Unbiased Test:[53.31]  Update Unbiased Test:[53.31] Best Unbiased Test:[53.31]| Unseen Test:[54.09]  Update Unseen Test:[54.09] Best Unseen Test:[54.09]| epoch:[13] | Time:[2.06 min] | [10.59%] [16.02%] [31.38%] [22.99%] [19.03%]
2023-11-28 22:39:13 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [15/200] Loss:[0.3096] Train:[89.63] Val:[75.37] Biased Test:[88.62] Update Biased Test:[88.62] Best Biased Test:[88.62]| Unbiased Test:[57.21]  Update Unbiased Test:[57.21] Best Unbiased Test:[57.21]| Unseen Test:[58.09]  Update Unseen Test:[58.09] Best Unseen Test:[58.09]| epoch:[14] | Time:[2.20 min] | [10.78%] [13.26%] [33.44%] [23.98%] [18.55%]
2023-11-28 22:39:22 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [16/200] Loss:[0.3093] Train:[89.62] Val:[60.77] Biased Test:[74.85] Update Biased Test:[88.62] Best Biased Test:[88.62]| Unbiased Test:[41.73]  Update Unbiased Test:[57.21] Best Unbiased Test:[57.21]| Unseen Test:[39.37]  Update Unseen Test:[58.09] Best Unseen Test:[58.09]| epoch:[14] | Time:[2.35 min] | [10.60%] [13.78%] [35.21%] [21.60%] [18.82%]
2023-11-28 22:39:31 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [17/200] Loss:[0.3412] Train:[89.15] Val:[73.06] Biased Test:[87.17] Update Biased Test:[88.62] Best Biased Test:[88.62]| Unbiased Test:[53.39]  Update Unbiased Test:[57.21] Best Unbiased Test:[57.21]| Unseen Test:[57.04]  Update Unseen Test:[58.09] Best Unseen Test:[58.09]| epoch:[14] | Time:[2.49 min] | [11.40%] [14.75%] [34.24%] [21.23%] [18.38%]
2023-11-28 22:39:40 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [18/200] Loss:[0.3142] Train:[89.90] Val:[74.74] Biased Test:[88.27] Update Biased Test:[88.62] Best Biased Test:[88.62]| Unbiased Test:[56.81]  Update Unbiased Test:[57.21] Best Unbiased Test:[57.21]| Unseen Test:[58.36]  Update Unseen Test:[58.09] Best Unseen Test:[58.36]| epoch:[14] | Time:[2.64 min] | [12.91%] [15.51%] [35.20%] [18.92%] [17.47%]
