2023-11-28 14:32:37 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [1/200] Loss:[0.7857] Train:[80.32] Val:[46.36] Biased Test:[80.12] Update Biased Test:[80.12] Best Biased Test:[80.12]| Unbiased Test:[10.46]  Update Unbiased Test:[10.46] Best Unbiased Test:[10.46]| Unseen Test:[9.47]  Update Unseen Test:[9.47] Best Unseen Test:[9.47]| epoch:[0] | Time:[0.13 min] | [0.07%] [11.69%] [57.92%] [29.11%] [1.22%]
2023-11-28 14:32:44 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [2/200] Loss:[0.6134] Train:[88.64] Val:[48.98] Biased Test:[89.16] Update Biased Test:[89.16] Best Biased Test:[89.16]| Unbiased Test:[10.31]  Update Unbiased Test:[10.31] Best Unbiased Test:[10.46]| Unseen Test:[9.44]  Update Unseen Test:[9.44] Best Unseen Test:[9.47]| epoch:[1] | Time:[0.24 min] | [0.00%] [12.17%] [54.31%] [29.65%] [3.87%]
2023-11-28 14:32:53 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [3/200] Loss:[0.5814] Train:[88.61] Val:[39.76] Biased Test:[69.30] Update Biased Test:[89.16] Best Biased Test:[89.16]| Unbiased Test:[10.73]  Update Unbiased Test:[10.31] Best Unbiased Test:[10.73]| Unseen Test:[11.37]  Update Unseen Test:[9.44] Best Unseen Test:[11.37]| epoch:[1] | Time:[0.39 min] | [0.01%] [10.19%] [59.54%] [26.19%] [4.07%]
2023-11-28 14:33:00 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [4/200] Loss:[0.6093] Train:[88.04] Val:[41.42] Biased Test:[72.68] Update Biased Test:[89.16] Best Biased Test:[89.16]| Unbiased Test:[11.62]  Update Unbiased Test:[10.31] Best Unbiased Test:[11.62]| Unseen Test:[10.73]  Update Unseen Test:[9.44] Best Unseen Test:[11.37]| epoch:[1] | Time:[0.51 min] | [0.58%] [9.73%] [37.70%] [46.10%] [5.89%]
2023-11-28 14:33:07 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [5/200] Loss:[0.6082] Train:[88.36] Val:[48.98] Biased Test:[88.75] Update Biased Test:[89.16] Best Biased Test:[89.16]| Unbiased Test:[10.78]  Update Unbiased Test:[10.31] Best Unbiased Test:[11.62]| Unseen Test:[9.76]  Update Unseen Test:[9.44] Best Unseen Test:[11.37]| epoch:[1] | Time:[0.63 min] | [0.00%] [0.11%] [61.21%] [29.50%] [9.19%]
2023-11-28 14:33:14 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [6/200] Loss:[0.6188] Train:[88.27] Val:[49.18] Biased Test:[89.88] Update Biased Test:[89.88] Best Biased Test:[89.88]| Unbiased Test:[10.16]  Update Unbiased Test:[10.16] Best Unbiased Test:[11.62]| Unseen Test:[9.96]  Update Unseen Test:[9.96] Best Unseen Test:[11.37]| epoch:[5] | Time:[0.74 min] | [0.00%] [0.00%] [60.02%] [26.68%] [13.30%]
2023-11-28 14:33:21 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [7/200] Loss:[0.5564] Train:[88.65] Val:[49.36] Biased Test:[89.77] Update Biased Test:[89.77] Best Biased Test:[89.88]| Unbiased Test:[10.30]  Update Unbiased Test:[10.30] Best Unbiased Test:[11.62]| Unseen Test:[11.32]  Update Unseen Test:[11.32] Best Unseen Test:[11.37]| epoch:[6] | Time:[0.86 min] | [0.00%] [0.00%] [61.22%] [24.06%] [14.72%]
2023-11-28 14:33:29 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [8/200] Loss:[0.5321] Train:[88.59] Val:[49.50] Biased Test:[89.07] Update Biased Test:[89.07] Best Biased Test:[89.88]| Unbiased Test:[11.20]  Update Unbiased Test:[11.20] Best Unbiased Test:[11.62]| Unseen Test:[9.96]  Update Unseen Test:[9.96] Best Unseen Test:[11.37]| epoch:[7] | Time:[0.98 min] | [0.00%] [0.00%] [49.08%] [38.13%] [12.79%]
2023-11-28 14:33:35 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [9/200] Loss:[0.4680] Train:[88.71] Val:[48.30] Biased Test:[85.62] Update Biased Test:[89.07] Best Biased Test:[89.88]| Unbiased Test:[12.00]  Update Unbiased Test:[11.20] Best Unbiased Test:[12.00]| Unseen Test:[10.43]  Update Unseen Test:[9.96] Best Unseen Test:[11.37]| epoch:[7] | Time:[1.10 min] | [0.00%] [0.00%] [41.97%] [42.43%] [15.59%]
2023-11-28 14:33:42 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [10/200] Loss:[0.4651] Train:[88.81] Val:[43.36] Biased Test:[75.49] Update Biased Test:[89.07] Best Biased Test:[89.88]| Unbiased Test:[11.89]  Update Unbiased Test:[11.20] Best Unbiased Test:[12.00]| Unseen Test:[12.06]  Update Unseen Test:[9.96] Best Unseen Test:[12.06]| epoch:[7] | Time:[1.21 min] | [0.00%] [0.00%] [40.74%] [43.82%] [15.43%]
2023-11-28 14:33:49 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [11/200] Loss:[0.4612] Train:[88.70] Val:[49.66] Biased Test:[89.82] Update Biased Test:[89.82] Best Biased Test:[89.88]| Unbiased Test:[11.42]  Update Unbiased Test:[11.42] Best Unbiased Test:[12.00]| Unseen Test:[11.19]  Update Unseen Test:[11.19] Best Unseen Test:[12.06]| epoch:[10] | Time:[1.33 min] | [0.00%] [0.00%] [38.88%] [47.27%] [13.85%]
