2023-11-28 21:38:30 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [1/200] Loss:[0.3937] Train:[87.32] Val:[50.17] Biased Test:[89.63] Update Biased Test:[89.63] Best Biased Test:[89.63]| Unbiased Test:[15.41]  Update Unbiased Test:[15.41] Best Unbiased Test:[15.41]| Unseen Test:[16.50]  Update Unseen Test:[16.50] Best Unseen Test:[16.50]| epoch:[0] | Time:[0.15 min] | [0.40%] [8.83%] [65.44%] [24.83%] [0.50%]
2023-11-28 21:38:39 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [2/200] Loss:[0.2127] Train:[94.75] Val:[53.59] Biased Test:[94.65] Update Biased Test:[94.65] Best Biased Test:[94.65]| Unbiased Test:[16.96]  Update Unbiased Test:[16.96] Best Unbiased Test:[16.96]| Unseen Test:[17.55]  Update Unseen Test:[17.55] Best Unseen Test:[17.55]| epoch:[1] | Time:[0.30 min] | [0.53%] [8.33%] [74.67%] [15.66%] [0.81%]
2023-11-28 21:38:47 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [3/200] Loss:[0.2033] Train:[94.61] Val:[34.97] Biased Test:[56.55] Update Biased Test:[94.65] Best Biased Test:[94.65]| Unbiased Test:[16.21]  Update Unbiased Test:[16.96] Best Unbiased Test:[16.96]| Unseen Test:[15.05]  Update Unseen Test:[17.55] Best Unseen Test:[17.55]| epoch:[1] | Time:[0.42 min] | [2.05%] [7.97%] [70.06%] [18.08%] [1.84%]
2023-11-28 21:38:54 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [4/200] Loss:[0.2937] Train:[93.51] Val:[35.42] Biased Test:[54.56] Update Biased Test:[94.65] Best Biased Test:[94.65]| Unbiased Test:[18.72]  Update Unbiased Test:[16.96] Best Unbiased Test:[18.72]| Unseen Test:[19.82]  Update Unseen Test:[17.55] Best Unseen Test:[19.82]| epoch:[1] | Time:[0.54 min] | [2.62%] [7.61%] [78.13%] [11.17%] [0.47%]
2023-11-28 21:39:01 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [5/200] Loss:[0.2137] Train:[94.57] Val:[50.87] Biased Test:[84.48] Update Biased Test:[94.65] Best Biased Test:[94.65]| Unbiased Test:[20.89]  Update Unbiased Test:[16.96] Best Unbiased Test:[20.89]| Unseen Test:[20.91]  Update Unseen Test:[17.55] Best Unseen Test:[20.91]| epoch:[1] | Time:[0.66 min] | [4.39%] [6.24%] [65.01%] [16.60%] [7.76%]
2023-11-28 21:39:09 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [6/200] Loss:[0.1784] Train:[94.83] Val:[60.32] Biased Test:[94.26] Update Biased Test:[94.26] Best Biased Test:[94.65]| Unbiased Test:[29.22]  Update Unbiased Test:[29.22] Best Unbiased Test:[29.22]| Unseen Test:[29.98]  Update Unseen Test:[29.98] Best Unseen Test:[29.98]| epoch:[5] | Time:[0.79 min] | [4.14%] [6.23%] [64.56%] [21.05%] [4.03%]
2023-11-28 21:39:17 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [7/200] Loss:[0.1601] Train:[95.48] Val:[58.95] Biased Test:[93.87] Update Biased Test:[94.26] Best Biased Test:[94.65]| Unbiased Test:[27.90]  Update Unbiased Test:[29.22] Best Unbiased Test:[29.22]| Unseen Test:[32.25]  Update Unseen Test:[29.98] Best Unseen Test:[32.25]| epoch:[5] | Time:[0.93 min] | [5.50%] [6.16%] [66.75%] [15.44%] [6.16%]
2023-11-28 21:39:25 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [8/200] Loss:[0.1649] Train:[95.12] Val:[61.11] Biased Test:[91.73] Update Biased Test:[91.73] Best Biased Test:[94.65]| Unbiased Test:[33.81]  Update Unbiased Test:[33.81] Best Unbiased Test:[33.81]| Unseen Test:[31.79]  Update Unseen Test:[31.79] Best Unseen Test:[32.25]| epoch:[7] | Time:[1.07 min] | [7.40%] [5.37%] [68.22%] [10.66%] [8.36%]
2023-11-28 21:39:33 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [9/200] Loss:[0.1477] Train:[95.59] Val:[59.07] Biased Test:[95.02] Update Biased Test:[91.73] Best Biased Test:[95.02]| Unbiased Test:[27.73]  Update Unbiased Test:[33.81] Best Unbiased Test:[33.81]| Unseen Test:[31.25]  Update Unseen Test:[31.79] Best Unseen Test:[32.25]| epoch:[7] | Time:[1.20 min] | [7.54%] [5.73%] [63.85%] [12.02%] [10.86%]
2023-11-28 21:39:41 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [10/200] Loss:[0.1419] Train:[95.81] Val:[57.37] Biased Test:[85.90] Update Biased Test:[91.73] Best Biased Test:[95.02]| Unbiased Test:[32.47]  Update Unbiased Test:[33.81] Best Unbiased Test:[33.81]| Unseen Test:[35.78]  Update Unseen Test:[31.79] Best Unseen Test:[35.78]| epoch:[7] | Time:[1.33 min] | [6.92%] [5.08%] [65.69%] [12.64%] [9.66%]
2023-11-28 21:39:49 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [11/200] Loss:[0.1569] Train:[95.62] Val:[47.77] Biased Test:[66.62] Update Biased Test:[91.73] Best Biased Test:[95.02]| Unbiased Test:[31.03]  Update Unbiased Test:[33.81] Best Unbiased Test:[33.81]| Unseen Test:[34.64]  Update Unseen Test:[31.79] Best Unseen Test:[35.78]| epoch:[7] | Time:[1.45 min] | [6.94%] [5.66%] [62.29%] [12.20%] [12.91%]
